figure1,corrAns,n,stim_resp.corr_mean,stim_resp.corr_raw,stim_resp.corr_std,stim_resp.keys_raw,stim_resp.rt_mean,stim_resp.rt_raw,stim_resp.rt_std,order
71.BMP,b,1,1,1,0,'b',13.63949108,13.63949108,0,0
207.bmp,a,1,1,1,0,'a',15.55937481,15.55937481,0,1
135.bmp,b,1,1,1,0,'b',9.345742226,9.345742226,0,2
77.BMP,b,1,1,1,0,'b',28.60686302,28.60686302,0,3
146.bmp,a,1,1,1,0,'a',19.66814804,19.66814804,0,4
68.BMP,a,1,1,1,0,'a',9.500939369,9.500939369,0,5
88.BMP,b,1,1,1,0,'b',16.64200592,16.64200592,0,6
141.bmp,b,1,1,1,0,'b',14.3776598,14.3776598,0,7
37.BMP,a,1,1,1,0,'a',9.493154526,9.493154526,0,8
111.jpg,a,1,1,1,0,'a',7.223769188,7.223769188,0,9
64.BMP,a,1,1,1,0,'a',7.31177187,7.31177187,0,10
86.BMP,b,1,1,1,0,'b',6.380574226,6.380574226,0,11
29.BMP,a,1,1,1,0,'a',10.18459129,10.18459129,0,12
115.jpg,b,1,1,1,0,'b',17.42637634,17.42637634,0,13
150.bmp,b,1,1,1,0,'b',9.518896103,9.518896103,0,14
43.BMP,b,1,1,1,0,'b',14.80016899,14.80016899,0,15
41.BMP,b,1,1,1,0,'b',13.61727905,13.61727905,0,16
203.bmp,a,1,1,1,0,'a',10.23050785,10.23050785,0,17
149.bmp,a,1,1,1,0,'a',34.87592697,34.87592697,0,18
112.jpg,b,1,1,1,0,'b',10.47224236,10.47224236,0,19
119.jpg,a,1,1,1,0,'a',10.9029026,10.9029026,0,20
106.jpg,b,1,1,1,0,'b',19.70274353,19.70274353,0,21
116.jpg,b,1,1,1,0,'b',12.34541416,12.34541416,0,22
84.BMP,a,1,1,1,0,'a',12.21733761,12.21733761,0,23
204.bmp,b,1,1,1,0,'b',10.22815037,10.22815037,0,24
91.jpg,a,1,1,1,0,'a',13.86135387,13.86135387,0,25
53.BMP,b,1,1,1,0,'b',9.872324944,9.872324944,0,26
108.jpg,a,1,1,1,0,'a',36.12276459,36.12276459,0,27
143.bmp,a,1,1,1,0,'a',21.6854496,21.6854496,0,28
129.bmp,a,1,1,1,0,'a',10.34397984,10.34397984,0,29
109.jpg,a,1,1,1,0,'a',43.06892395,43.06892395,0,30
117.jpg,a,1,0,0,0,'b',50.04629898,50.04629898,0,31
14.BMP,a,1,1,1,0,'a',15.21589184,15.21589184,0,32
57.BMP,b,1,1,1,0,'b',14.64513397,14.64513397,0,33
48.BMP,a,1,1,1,0,'a',16.51787376,16.51787376,0,34
20.BMP,b,1,1,1,0,'b',13.67352295,13.67352295,0,35
138.bmp,a,1,1,1,0,'a',15.40984058,15.40984058,0,36
202.bmp,a,1,0,0,0,'b',8.434588432,8.434588432,0,37
39.BMP,a,1,1,1,0,'a',15.74641609,15.74641609,0,38
110.jpg,a,1,1,1,0,'a',30.51573944,30.51573944,0,39
2.BMP,b,1,1,1,0,'b',13.70158672,13.70158672,0,40
40.jpg,b,1,1,1,0,'b',19.75933266,19.75933266,0,41
132.bmp,b,1,1,1,0,'b',17.04159927,17.04159927,0,42
65.BMP,b,1,1,1,0,'b',8.732946396,8.732946396,0,43
51.BMP,a,1,1,1,0,'a',14.59938812,14.59938812,0,44
211.bmp,a,1,1,1,0,'a',15.23819828,15.23819828,0,45
17.BMP,b,1,1,1,0,'b',18.12401009,18.12401009,0,46
35.BMP,b,1,1,1,0,'b',48.20046616,48.20046616,0,47
5.BMP,a,1,1,1,0,'a',13.8124361,13.8124361,0,48
145.bmp,a,1,1,1,0,'a',14.7622757,14.7622757,0,49
,,,,,,,,,,
extraInfo,,,,,,,,,,
participant,1,,,,,,,,,
date,2023-04-04_12h14.27.726,,,,,,,,,
expName,codetms_version2,,,,,,,,,
psychopyVersion,2022.2.5,,,,,,,,,
frameRate,,,,,,,,,,
