figure1,corrAns,n,stim_resp.corr_mean,stim_resp.corr_raw,stim_resp.corr_std,stim_resp.keys_raw,stim_resp.rt_mean,stim_resp.rt_raw,stim_resp.rt_std,order
204.bmp,b,1.0,1.0,1.0,0.0,'b',11.835659980773926,11.835659980773926,0.0,22.0
29.BMP,a,1.0,1.0,1.0,0.0,'a',38.76963806152344,38.76963806152344,0.0,11.0
202.bmp,a,1.0,1.0,1.0,0.0,'a',27.525365829467773,27.525365829467773,0.0,5.0
2.BMP,b,1.0,1.0,1.0,0.0,'b',14.445783615112305,14.445783615112305,0.0,3.0
14.BMP,a,1.0,1.0,1.0,0.0,'a',13.793919563293457,13.793919563293457,0.0,44.0
5.BMP,a,1.0,1.0,1.0,0.0,'a',10.159826278686523,10.159826278686523,0.0,25.0
17.BMP,b,1.0,1.0,1.0,0.0,'b',18.60318946838379,18.60318946838379,0.0,43.0
207.bmp,a,1.0,1.0,1.0,0.0,'a',35.07192611694336,35.07192611694336,0.0,59.0
203.bmp,a,1.0,1.0,1.0,0.0,'a',11.718811988830566,11.718811988830566,0.0,26.0
20.BMP,b,1.0,1.0,1.0,0.0,'b',18.387109756469727,18.387109756469727,0.0,30.0
211.bmp,a,1.0,1.0,1.0,0.0,'a',29.691591262817383,29.691591262817383,0.0,46.0
41.BMP,b,1.0,1.0,1.0,0.0,'b',44.378047943115234,44.378047943115234,0.0,37.0
43.BMP,b,1.0,1.0,1.0,0.0,'b',27.03289794921875,27.03289794921875,0.0,8.0
57.BMP,b,1.0,1.0,1.0,0.0,'b',16.417701721191406,16.417701721191406,0.0,6.0
37.BMP,a,1.0,1.0,1.0,0.0,'a',31.0255126953125,31.0255126953125,0.0,2.0
35.BMP,b,1.0,1.0,1.0,0.0,'b',43.76050567626953,43.76050567626953,0.0,13.0
39.BMP,a,1.0,1.0,1.0,0.0,'a',30.476343154907227,30.476343154907227,0.0,24.0
51.BMP,a,1.0,1.0,1.0,0.0,'a',14.84438419342041,14.84438419342041,0.0,55.0
40.jpg,b,1.0,1.0,1.0,0.0,'b',37.42333984375,37.42333984375,0.0,9.0
48.BMP,a,1.0,1.0,1.0,0.0,'a',20.350862503051758,20.350862503051758,0.0,15.0
53.BMP,b,1.0,1.0,1.0,0.0,'b',27.939746856689453,27.939746856689453,0.0,35.0
71.BMP,b,1.0,1.0,1.0,0.0,'b',5.611948490142822,5.611948490142822,0.0,38.0
112.jpg,b,1.0,1.0,1.0,0.0,'b',9.586030960083008,9.586030960083008,0.0,36.0
106.jpg,a,1.0,0.0,0.0,0.0,'b',31.643735885620117,31.643735885620117,0.0,4.0
91.jpg,a,1.0,1.0,1.0,0.0,'a',9.071864128112793,9.071864128112793,0.0,28.0
109.jpg,a,1.0,1.0,1.0,0.0,'a',22.274616241455078,22.274616241455078,0.0,1.0
65.BMP,b,1.0,1.0,1.0,0.0,'b',12.819019317626953,12.819019317626953,0.0,16.0
110.jpg,a,1.0,1.0,1.0,0.0,'a',20.177270889282227,20.177270889282227,0.0,0.0
111.jpg,a,1.0,1.0,1.0,0.0,'a',70.80708312988281,70.80708312988281,0.0,27.0
117.jpg,a,1.0,1.0,1.0,0.0,'a',22.8915958404541,22.8915958404541,0.0,29.0
77.BMP,b,1.0,1.0,1.0,0.0,'b',6.557804584503174,6.557804584503174,0.0,7.0
86.BMP,b,1.0,1.0,1.0,0.0,'b',5.2523393630981445,5.2523393630981445,0.0,58.0
108.jpg,a,1.0,1.0,1.0,0.0,'a',10.831023216247559,10.831023216247559,0.0,18.0
68.BMP,a,1.0,1.0,1.0,0.0,'a',6.213792324066162,6.213792324066162,0.0,57.0
116.jpg,b,1.0,1.0,1.0,0.0,'b',38.677978515625,38.677978515625,0.0,19.0
119.jpg,a,1.0,0.0,0.0,0.0,'b',33.96613311767578,33.96613311767578,0.0,42.0
115.jpg,b,1.0,1.0,1.0,0.0,'b',29.349475860595703,29.349475860595703,0.0,14.0
88.BMP,b,1.0,1.0,1.0,0.0,'b',8.288586616516113,8.288586616516113,0.0,33.0
84.BMP,a,1.0,1.0,1.0,0.0,'a',7.7666497230529785,7.7666497230529785,0.0,31.0
64.BMP,a,1.0,1.0,1.0,0.0,'a',10.385912895202637,10.385912895202637,0.0,47.0
141.bmp,b,1.0,1.0,1.0,0.0,'b',35.154598236083984,35.154598236083984,0.0,45.0
135.bmp,b,1.0,1.0,1.0,0.0,'b',32.926029205322266,32.926029205322266,0.0,54.0
145.bmp,a,1.0,0.0,0.0,0.0,'b',29.92277717590332,29.92277717590332,0.0,23.0
143.bmp,a,1.0,0.0,0.0,0.0,'b',49.63086700439453,49.63086700439453,0.0,51.0
149.bmp,a,1.0,1.0,1.0,0.0,'a',44.43893814086914,44.43893814086914,0.0,21.0
138.bmp,a,1.0,1.0,1.0,0.0,'a',35.414852142333984,35.414852142333984,0.0,34.0
129.bmp,a,1.0,1.0,1.0,0.0,'a',24.442655563354492,24.442655563354492,0.0,12.0
150.bmp,b,1.0,1.0,1.0,0.0,'b',28.51140022277832,28.51140022277832,0.0,52.0
132.bmp,b,1.0,0.0,0.0,0.0,'a',19.797779083251953,19.797779083251953,0.0,56.0
146.bmp,a,1.0,1.0,1.0,0.0,'a',21.992332458496094,21.992332458496094,0.0,17.0
302.bmp,a,1.0,1.0,1.0,0.0,'a',43.72285842895508,43.72285842895508,0.0,40.0
305.bmp,b,1.0,1.0,1.0,0.0,'b',22.55756187438965,22.55756187438965,0.0,20.0
308.bmp,b,1.0,1.0,1.0,0.0,'b',72.93212890625,72.93212890625,0.0,60.0
311.bmp,b,1.0,0.0,0.0,0.0,'a',43.20473861694336,43.20473861694336,0.0,50.0
314.bmp,a,1.0,0.0,0.0,0.0,'b',43.05830383300781,43.05830383300781,0.0,41.0
317.bmp,a,1.0,0.0,0.0,0.0,'b',88.6882553100586,88.6882553100586,0.0,39.0
320.bmp,a,1.0,0.0,0.0,0.0,'b',32.04375076293945,32.04375076293945,0.0,48.0
323.bmp,b,1.0,1.0,1.0,0.0,'b',64.06510925292969,64.06510925292969,0.0,32.0
325.bmp,a,1.0,0.0,0.0,0.0,'b',52.48152160644531,52.48152160644531,0.0,10.0
329.bmp,b,1.0,1.0,1.0,0.0,'b',44.50396728515625,44.50396728515625,0.0,49.0
332.bmp,a,1.0,0.0,0.0,0.0,'b',53.34557342529297,53.34557342529297,0.0,53.0

extraInfo
participant,13012
date,2023-06-28_13h39.52.874
expName,codetms_version2
psychopyVersion,2022.2.5
frameRate,None
