figure1,corrAns,n,stim_resp.corr_mean,stim_resp.corr_raw,stim_resp.corr_std,stim_resp.keys_raw,stim_resp.rt_mean,stim_resp.rt_raw,stim_resp.rt_std,order
75.BMP,a,1.0,0.0,0.0,0.0,'b',6.821869373321533,6.821869373321533,0.0,0.0
104.jpg,b,1.0,1.0,1.0,0.0,'b',10.4531307220459,10.4531307220459,0.0,1.0
205.bmp,a,1.0,1.0,1.0,0.0,'a',9.990747451782227,9.990747451782227,0.0,2.0
6.BMP,b,1.0,1.0,1.0,0.0,'b',29.07060813903809,29.07060813903809,0.0,3.0
24.BMP,a,1.0,0.0,0.0,0.0,'b',19.33619689941406,19.33619689941406,0.0,4.0
15.BMP,b,1.0,0.0,0.0,0.0,'a',34.66157913208008,34.66157913208008,0.0,5.0
123.bmp,b,1.0,1.0,1.0,0.0,'b',20.02422714233398,20.02422714233398,0.0,6.0
85.BMP,a,1.0,1.0,1.0,0.0,'a',23.3024730682373,23.3024730682373,0.0,7.0
333.bmp,a,1.0,1.0,1.0,0.0,'a',75.01029968261719,75.01029968261719,0.0,8.0
52.BMP,b,1.0,1.0,1.0,0.0,'b',31.40959930419922,31.40959930419922,0.0,9.0
55.BMP,b,1.0,1.0,1.0,0.0,'b',32.90118026733398,32.90118026733398,0.0,10.0
214.bmp,a,1.0,1.0,1.0,0.0,'a',14.34170055389404,14.34170055389404,0.0,11.0
81.BMP,b,1.0,1.0,1.0,0.0,'b',4.683590412139893,4.683590412139893,0.0,12.0
19.BMP,b,1.0,1.0,1.0,0.0,'b',27.49339866638184,27.49339866638184,0.0,13.0
148.bmp,b,1.0,1.0,1.0,0.0,'b',10.9008150100708,10.9008150100708,0.0,14.0
31.BMP,b,1.0,1.0,1.0,0.0,'b',23.75635147094727,23.75635147094727,0.0,15.0
69.BMP,a,1.0,1.0,1.0,0.0,'a',7.738466739654541,7.738466739654541,0.0,16.0
328.bmp,a,1.0,1.0,1.0,0.0,'a',58.77358245849609,58.77358245849609,0.0,17.0
74.BMP,a,1.0,1.0,1.0,0.0,'a',11.93990325927734,11.93990325927734,0.0,18.0
92.jpg,a,1.0,1.0,1.0,0.0,'a',9.817398071289062,9.817398071289062,0.0,19.0
34.BMP,b,1.0,1.0,1.0,0.0,'b',5.377614974975586,5.377614974975586,0.0,20.0
45.BMP,b,1.0,1.0,1.0,0.0,'b',9.799150466918945,9.799150466918945,0.0,21.0
107.jpg,a,1.0,1.0,1.0,0.0,'a',21.90986824035645,21.90986824035645,0.0,22.0
139.bmp,a,1.0,1.0,1.0,0.0,'a',16.57694244384766,16.57694244384766,0.0,23.0
102.jpg,b,1.0,1.0,1.0,0.0,'b',10.05881786346436,10.05881786346436,0.0,24.0
67.BMP,a,1.0,1.0,1.0,0.0,'a',5.284773826599121,5.284773826599121,0.0,25.0
201.bmp,b,1.0,1.0,1.0,0.0,'b',10.27216911315918,10.27216911315918,0.0,26.0
134.bmp,a,1.0,1.0,1.0,0.0,'a',42.18620681762695,42.18620681762695,0.0,27.0
310.bmp,a,1.0,1.0,1.0,0.0,'a',19.80401229858398,19.80401229858398,0.0,28.0
316.bmp,a,1.0,1.0,1.0,0.0,'a',23.41423416137695,23.41423416137695,0.0,29.0
87.BMP,b,1.0,1.0,1.0,0.0,'b',32.15700149536133,32.15700149536133,0.0,30.0
212.bmp,a,1.0,1.0,1.0,0.0,'a',17.89224433898926,17.89224433898926,0.0,31.0
322.bmp,a,1.0,0.0,0.0,0.0,'b',19.9964485168457,19.9964485168457,0.0,32.0
32.BMP,a,1.0,1.0,1.0,0.0,'a',41.11376571655273,41.11376571655273,0.0,33.0
210.bmp,a,1.0,1.0,1.0,0.0,'a',8.43813419342041,8.43813419342041,0.0,34.0
125.bmp,b,1.0,1.0,1.0,0.0,'b',12.75082969665527,12.75082969665527,0.0,35.0
122.bmp,b,1.0,1.0,1.0,0.0,'b',8.297916412353516,8.297916412353516,0.0,36.0
313.bmp,b,1.0,1.0,1.0,0.0,'b',36.76000213623047,36.76000213623047,0.0,37.0
326.bmp,b,1.0,1.0,1.0,0.0,'b',13.5407543182373,13.5407543182373,0.0,38.0
10.BMP,a,1.0,1.0,1.0,0.0,'a',33.74828338623047,33.74828338623047,0.0,39.0
100.jpg,b,1.0,1.0,1.0,0.0,'b',15.04254913330078,15.04254913330078,0.0,40.0
95.jpg,a,1.0,1.0,1.0,0.0,'a',11.96606254577637,11.96606254577637,0.0,41.0
304.bmp,b,1.0,0.0,0.0,0.0,'a',22.80005264282227,22.80005264282227,0.0,42.0
142.bmp,b,1.0,1.0,1.0,0.0,'b',42.35556411743164,42.35556411743164,0.0,43.0
63.BMP,a,1.0,1.0,1.0,0.0,'a',4.297078609466553,4.297078609466553,0.0,44.0
144.bmp,b,1.0,1.0,1.0,0.0,'b',21.04889488220215,21.04889488220215,0.0,45.0
307.bmp,a,1.0,0.0,0.0,0.0,'b',76.7125015258789,76.7125015258789,0.0,46.0
94.jpg,b,1.0,1.0,1.0,0.0,'b',8.292336463928223,8.292336463928223,0.0,47.0
319.bmp,a,1.0,1.0,1.0,0.0,'a',7.947939872741699,7.947939872741699,0.0,48.0
18.BMP,b,1.0,1.0,1.0,0.0,'b',19.93255424499512,19.93255424499512,0.0,49.0
90.BMP,a,1.0,1.0,1.0,0.0,'a',5.692488670349121,5.692488670349121,0.0,50.0
70.BMP,b,1.0,1.0,1.0,0.0,'b',21.30969429016113,21.30969429016113,0.0,51.0
27.BMP,a,1.0,1.0,1.0,0.0,'a',29.54654884338379,29.54654884338379,0.0,52.0
301.bmp,b,1.0,1.0,1.0,0.0,'b',18.683837890625,18.683837890625,0.0,53.0
7.BMP,b,1.0,1.0,1.0,0.0,'b',17.56064796447754,17.56064796447754,0.0,54.0
47.BMP,a,1.0,1.0,1.0,0.0,'a',43.48744964599609,43.48744964599609,0.0,55.0
25.BMP,b,1.0,1.0,1.0,0.0,'b',9.149038314819336,9.149038314819336,0.0,56.0
80.BMP,b,1.0,1.0,1.0,0.0,'b',4.661670684814453,4.661670684814453,0.0,57.0
