figure1,corrAns,n,stim_resp.corr_mean,stim_resp.corr_raw,stim_resp.corr_std,stim_resp.keys_raw,stim_resp.rt_mean,stim_resp.rt_raw,stim_resp.rt_std,order
134.bmp,a,1.0,1.0,1.0,0.0,'a',15.38284397125244,15.38284397125244,0.0,0.0
74.BMP,a,1.0,1.0,1.0,0.0,'a',18.52208518981934,18.52208518981934,0.0,1.0
95.jpg,a,1.0,1.0,1.0,0.0,'a',16.18155097961426,16.18155097961426,0.0,2.0
19.BMP,b,1.0,1.0,1.0,0.0,'b',25.18257522583008,25.18257522583008,0.0,3.0
70.BMP,b,1.0,1.0,1.0,0.0,'b',14.72838401794434,14.72838401794434,0.0,4.0
205.bmp,a,1.0,1.0,1.0,0.0,'a',11.91212177276611,11.91212177276611,0.0,5.0
148.bmp,b,1.0,1.0,1.0,0.0,'b',19.12656211853027,19.12656211853027,0.0,6.0
85.BMP,a,1.0,1.0,1.0,0.0,'a',7.008844375610352,7.008844375610352,0.0,7.0
201.bmp,b,1.0,1.0,1.0,0.0,'b',15.79391098022461,15.79391098022461,0.0,8.0
121.bmp,a,1.0,1.0,1.0,0.0,'a',9.820895195007324,9.820895195007324,0.0,9.0
63.BMP,a,1.0,1.0,1.0,0.0,'a',6.921471118927002,6.921471118927002,0.0,10.0
90.BMP,a,1.0,1.0,1.0,0.0,'a',8.808844566345215,8.808844566345215,0.0,11.0
27.BMP,a,1.0,1.0,1.0,0.0,'a',18.48442268371582,18.48442268371582,0.0,12.0
10.BMP,a,1.0,1.0,1.0,0.0,'a',16.5671443939209,16.5671443939209,0.0,13.0
103.jpg,a,1.0,1.0,1.0,0.0,'a',14.87698841094971,14.87698841094971,0.0,14.0
67.BMP,a,1.0,1.0,1.0,0.0,'a',11.29234790802002,11.29234790802002,0.0,15.0
102.jpg,b,1.0,1.0,1.0,0.0,'b',23.23300552368164,23.23300552368164,0.0,16.0
139.bmp,a,1.0,1.0,1.0,0.0,'a',26.44405937194824,26.44405937194824,0.0,17.0
316.bmp,a,1.0,1.0,1.0,0.0,'a',63.66172409057617,63.66172409057617,0.0,18.0
107.jpg,a,1.0,1.0,1.0,0.0,'a',29.02121734619141,29.02121734619141,0.0,19.0
310.bmp,a,1.0,0.0,0.0,0.0,'b',47.62191772460938,47.62191772460938,0.0,20.0
122.bmp,b,1.0,1.0,1.0,0.0,'b',12.62014007568359,12.62014007568359,0.0,21.0
328.bmp,a,1.0,1.0,1.0,0.0,'a',56.83401870727539,56.83401870727539,0.0,22.0
104.jpg,b,1.0,1.0,1.0,0.0,'b',24.69908332824707,24.69908332824707,0.0,23.0
212.bmp,a,1.0,1.0,1.0,0.0,'a',18.31698417663574,18.31698417663574,0.0,24.0
313.bmp,b,1.0,1.0,1.0,0.0,'b',56.66165542602539,56.66165542602539,0.0,25.0
144.bmp,b,1.0,1.0,1.0,0.0,'b',32.79232406616211,32.79232406616211,0.0,26.0
6.BMP,b,1.0,1.0,1.0,0.0,'b',18.02149200439453,18.02149200439453,0.0,27.0
123.bmp,b,1.0,1.0,1.0,0.0,'b',15.33734226226807,15.33734226226807,0.0,28.0
125.bmp,b,1.0,1.0,1.0,0.0,'b',21.96920967102051,21.96920967102051,0.0,29.0
322.bmp,a,1.0,1.0,1.0,0.0,'a',57.2872200012207,57.2872200012207,0.0,30.0
319.bmp,a,1.0,1.0,1.0,0.0,'a',43.9084358215332,43.9084358215332,0.0,31.0
100.jpg,b,1.0,1.0,1.0,0.0,'b',16.05109786987305,16.05109786987305,0.0,32.0
45.BMP,b,1.0,1.0,1.0,0.0,'b',14.79316425323486,14.79316425323486,0.0,33.0
214.bmp,a,1.0,1.0,1.0,0.0,'a',19.30209922790527,19.30209922790527,0.0,34.0
52.BMP,b,1.0,1.0,1.0,0.0,'b',26.41057395935059,26.41057395935059,0.0,35.0
34.BMP,b,1.0,1.0,1.0,0.0,'b',17.05010795593262,17.05010795593262,0.0,36.0
142.bmp,b,1.0,1.0,1.0,0.0,'b',37.72268295288086,37.72268295288086,0.0,37.0
47.BMP,a,1.0,1.0,1.0,0.0,'a',33.01588821411133,33.01588821411133,0.0,38.0
