figure1,corrAns,n,stim_resp.corr_mean,stim_resp.corr_raw,stim_resp.corr_std,stim_resp.keys_raw,stim_resp.rt_mean,stim_resp.rt_raw,stim_resp.rt_std,order
80.BMP,b,1.0,1.0,1.0,0.0,'b',2.961034774780273,2.961034774780273,0.0,0.0
90.BMP,a,1.0,1.0,1.0,0.0,'a',2.784273624420166,2.784273624420166,0.0,1.0
210.bmp,a,1.0,1.0,1.0,0.0,'a',6.217483043670654,6.217483043670654,0.0,2.0
333.bmp,a,1.0,1.0,1.0,0.0,'a',53.72466659545898,53.72466659545898,0.0,3.0
316.bmp,a,1.0,1.0,1.0,0.0,'a',26.41153526306152,26.41153526306152,0.0,4.0
75.BMP,a,1.0,1.0,1.0,0.0,'a',4.085962295532227,4.085962295532227,0.0,5.0
85.BMP,a,1.0,1.0,1.0,0.0,'a',2.524225234985352,2.524225234985352,0.0,6.0
212.bmp,a,1.0,1.0,1.0,0.0,'a',3.462978601455688,3.462978601455688,0.0,7.0
123.bmp,b,1.0,1.0,1.0,0.0,'b',7.981605529785156,7.981605529785156,0.0,8.0
205.bmp,a,1.0,1.0,1.0,0.0,'a',8.381415367126465,8.381415367126465,0.0,9.0
94.jpg,b,1.0,1.0,1.0,0.0,'b',4.5711350440979,4.5711350440979,0.0,10.0
63.BMP,a,1.0,1.0,1.0,0.0,'a',1.681028008460999,1.681028008460999,0.0,11.0
322.bmp,a,1.0,1.0,1.0,0.0,'a',43.90137481689453,43.90137481689453,0.0,12.0
307.bmp,a,1.0,1.0,1.0,0.0,'a',67.36470031738281,67.36470031738281,0.0,13.0
6.BMP,b,1.0,1.0,1.0,0.0,'b',5.596173763275146,5.596173763275146,0.0,14.0
103.jpg,a,1.0,1.0,1.0,0.0,'a',8.00908374786377,8.00908374786377,0.0,15.0
148.bmp,b,1.0,1.0,1.0,0.0,'b',4.346404075622559,4.346404075622559,0.0,16.0
27.BMP,a,1.0,1.0,1.0,0.0,'a',10.98521900177002,10.98521900177002,0.0,17.0
10.BMP,a,1.0,1.0,1.0,0.0,'a',10.6467342376709,10.6467342376709,0.0,18.0
25.BMP,b,1.0,1.0,1.0,0.0,'b',3.938517570495605,3.938517570495605,0.0,19.0
24.BMP,a,1.0,1.0,1.0,0.0,'a',10.64391231536865,10.64391231536865,0.0,20.0
67.BMP,a,1.0,1.0,1.0,0.0,'a',2.694573879241943,2.694573879241943,0.0,21.0
304.bmp,b,1.0,1.0,1.0,0.0,'b',13.10317707061768,13.10317707061768,0.0,22.0
31.BMP,b,1.0,1.0,1.0,0.0,'b',16.7934684753418,16.7934684753418,0.0,23.0
52.BMP,b,1.0,1.0,1.0,0.0,'b',24.40216636657715,24.40216636657715,0.0,24.0
144.bmp,b,1.0,1.0,1.0,0.0,'b',12.30553340911865,12.30553340911865,0.0,25.0
