figure1,corrAns,n,stim_resp.corr_mean,stim_resp.corr_raw,stim_resp.corr_std,stim_resp.keys_raw,stim_resp.rt_mean,stim_resp.rt_raw,stim_resp.rt_std,order
206.bmp,b,1.0,1.0,1.0,0.0,'b',10.51813697814941,10.51813697814941,0.0,0.0
60.BMP,a,1.0,1.0,1.0,0.0,'a',12.40040111541748,12.40040111541748,0.0,1.0
147.bmp,a,1.0,1.0,1.0,0.0,'a',29.45055770874023,29.45055770874023,0.0,2.0
54.BMP,b,1.0,1.0,1.0,0.0,'b',11.72301769256592,11.72301769256592,0.0,3.0
56.BMP,b,1.0,1.0,1.0,0.0,'b',11.16529655456543,11.16529655456543,0.0,4.0
46.BMP,a,1.0,1.0,1.0,0.0,'a',27.71625709533691,27.71625709533691,0.0,5.0
13.BMP,b,1.0,1.0,1.0,0.0,'b',17.86796188354492,17.86796188354492,0.0,6.0
83.BMP,a,1.0,1.0,1.0,0.0,'a',6.402706623077393,6.402706623077393,0.0,7.0
82.BMP,a,1.0,1.0,1.0,0.0,'a',3.864243984222412,3.864243984222412,0.0,8.0
133.bmp,a,1.0,1.0,1.0,0.0,'a',18.97229194641113,18.97229194641113,0.0,9.0
312.bmp,b,1.0,1.0,1.0,0.0,'b',53.1883430480957,53.1883430480957,0.0,10.0
128.bmp,b,1.0,0.0,0.0,0.0,'a',31.48482513427734,31.48482513427734,0.0,11.0
98.jpg,b,1.0,1.0,1.0,0.0,'b',21.18734359741211,21.18734359741211,0.0,12.0
113.jpg,b,1.0,1.0,1.0,0.0,'b',11.91935062408447,11.91935062408447,0.0,13.0
93.jpg,a,1.0,0.0,0.0,0.0,'b',37.98140335083008,37.98140335083008,0.0,14.0
72.BMP,b,1.0,1.0,1.0,0.0,'b',8.083268165588379,8.083268165588379,0.0,15.0
331.bmp,b,1.0,1.0,1.0,0.0,'b',40.94832611083984,40.94832611083984,0.0,16.0
126.bmp,a,1.0,1.0,1.0,0.0,'a',15.97732353210449,15.97732353210449,0.0,17.0
136.bmp,a,1.0,1.0,1.0,0.0,'a',52.09053802490234,52.09053802490234,0.0,18.0
213.bmp,b,1.0,1.0,1.0,0.0,'b',8.11054801940918,8.11054801940918,0.0,19.0
315.bmp,b,1.0,1.0,1.0,0.0,'b',14.76110744476318,14.76110744476318,0.0,20.0
1.BMP,a,1.0,1.0,1.0,0.0,'a',21.57989501953125,21.57989501953125,0.0,21.0
209.bmp,b,1.0,1.0,1.0,0.0,'b',11.75749969482422,11.75749969482422,0.0,22.0
137.bmp,b,1.0,1.0,1.0,0.0,'b',34.56233215332031,34.56233215332031,0.0,23.0
114.jpg,a,1.0,1.0,1.0,0.0,'a',30.59110641479492,30.59110641479492,0.0,24.0
9.BMP,a,1.0,1.0,1.0,0.0,'a',27.67403984069824,27.67403984069824,0.0,25.0
66.BMP,b,1.0,1.0,1.0,0.0,'b',6.869068622589111,6.869068622589111,0.0,26.0
16.BMP,b,1.0,1.0,1.0,0.0,'b',11.6878547668457,11.6878547668457,0.0,27.0
105.jpg,b,1.0,1.0,1.0,0.0,'b',17.88103485107422,17.88103485107422,0.0,28.0
330.bmp,a,1.0,1.0,1.0,0.0,'a',50.4999885559082,50.4999885559082,0.0,29.0
140.bmp,a,1.0,0.0,0.0,0.0,'b',34.0748291015625,34.0748291015625,0.0,30.0
76.BMP,b,1.0,1.0,1.0,0.0,'b',11.19126415252686,11.19126415252686,0.0,31.0
22.BMP,a,1.0,0.0,0.0,0.0,'b',19.98269081115723,19.98269081115723,0.0,32.0
127.bmp,b,1.0,1.0,1.0,0.0,'b',22.30437278747559,22.30437278747559,0.0,33.0
306.bmp,b,1.0,1.0,1.0,0.0,'b',16.00335311889648,16.00335311889648,0.0,34.0
99.jpg,b,1.0,1.0,1.0,0.0,'b',14.065260887146,14.065260887146,0.0,35.0
118.jpg,a,1.0,0.0,0.0,0.0,'b',27.7462100982666,27.7462100982666,0.0,36.0
59.BMP,b,1.0,1.0,1.0,0.0,'b',23.30617141723633,23.30617141723633,0.0,37.0
321.bmp,a,1.0,0.0,0.0,0.0,'b',27.47027397155762,27.47027397155762,0.0,38.0
73.BMP,b,1.0,1.0,1.0,0.0,'b',4.257124423980713,4.257124423980713,0.0,39.0
89.BMP,a,1.0,1.0,1.0,0.0,'a',6.690635204315186,6.690635204315186,0.0,40.0
101.jpg,b,1.0,1.0,1.0,0.0,'b',21.35519218444824,21.35519218444824,0.0,41.0
38.BMP,b,1.0,1.0,1.0,0.0,'b',13.00901985168457,13.00901985168457,0.0,42.0
120.jpg,b,1.0,1.0,1.0,0.0,'b',47.54380798339844,47.54380798339844,0.0,43.0
23.BMP,a,1.0,1.0,1.0,0.0,'a',16.05757141113281,16.05757141113281,0.0,44.0
4.BMP,a,1.0,1.0,1.0,0.0,'a',27.73968505859375,27.73968505859375,0.0,45.0
3.BMP,a,1.0,1.0,1.0,0.0,'a',25.32283592224121,25.32283592224121,0.0,46.0
42.BMP,a,1.0,1.0,1.0,0.0,'a',28.01757431030273,28.01757431030273,0.0,47.0
97.jpg,b,1.0,1.0,1.0,0.0,'b',10.21903991699219,10.21903991699219,0.0,48.0
303.bmp,a,1.0,0.0,0.0,0.0,'b',22.06445503234863,22.06445503234863,0.0,49.0
208.bmp,a,1.0,1.0,1.0,0.0,'a',41.93461990356445,41.93461990356445,0.0,50.0
130.bmp,b,1.0,0.0,0.0,0.0,'a',25.54005432128906,25.54005432128906,0.0,51.0
33.BMP,b,1.0,1.0,1.0,0.0,'b',23.13488388061523,23.13488388061523,0.0,52.0
131.bmp,a,1.0,1.0,1.0,0.0,'a',10.87833118438721,10.87833118438721,0.0,53.0
96.jpg,a,1.0,1.0,1.0,0.0,'a',17.57654762268066,17.57654762268066,0.0,54.0
309.bmp,b,1.0,1.0,1.0,0.0,'b',93.02545166015625,93.02545166015625,0.0,55.0
49.BMP,a,1.0,1.0,1.0,0.0,'a',13.51104164123535,13.51104164123535,0.0,56.0
11.BMP,b,1.0,1.0,1.0,0.0,'b',13.95719718933105,13.95719718933105,0.0,57.0
327.bmp,b,1.0,0.0,0.0,0.0,'a',29.67189598083496,29.67189598083496,0.0,58.0
324.bmp,b,1.0,1.0,1.0,0.0,'b',133.0594024658203,133.0594024658203,0.0,59.0
318.bmp,b,1.0,0.0,0.0,0.0,'a',38.97293853759766,38.97293853759766,0.0,60.0
,,,,,,,,,,
extraInfo,,,,,,,,,,
participant,209,,,,,,,,,
date,2023-04-28_12h52.53.607,,,,,,,,,
expName,codetms_version3,,,,,,,,,
psychopyVersion,2022.2.5,,,,,,,,,
frameRate,,,,,,,,,,
