figure1,corrAns,n,stim_resp.corr_mean,stim_resp.corr_raw,stim_resp.corr_std,stim_resp.keys_raw,stim_resp.rt_mean,stim_resp.rt_raw,stim_resp.rt_std,order
204.bmp,b,1.0,1.0,1.0,0.0,'b',6.587297439575195,6.587297439575195,0.0,0.0
302.bmp,a,1.0,1.0,1.0,0.0,'a',67.54661560058594,67.54661560058594,0.0,1.0
149.bmp,a,1.0,1.0,1.0,0.0,'a',17.53482627868652,17.53482627868652,0.0,2.0
311.bmp,b,1.0,1.0,1.0,0.0,'b',50.55045700073242,50.55045700073242,0.0,3.0
323.bmp,b,1.0,1.0,1.0,0.0,'b',46.3129997253418,46.3129997253418,0.0,4.0
308.bmp,b,1.0,1.0,1.0,0.0,'b',37.87389373779297,37.87389373779297,0.0,5.0
71.BMP,b,1.0,1.0,1.0,0.0,'b',8.433728218078613,8.433728218078613,0.0,6.0
5.BMP,a,1.0,1.0,1.0,0.0,'a',13.9700288772583,13.9700288772583,0.0,7.0
37.BMP,a,1.0,1.0,1.0,0.0,'a',15.39313125610352,15.39313125610352,0.0,8.0
29.BMP,a,1.0,1.0,1.0,0.0,'a',15.69988536834717,15.69988536834717,0.0,9.0
20.BMP,b,1.0,1.0,1.0,0.0,'b',12.9094820022583,12.9094820022583,0.0,10.0
39.BMP,a,1.0,1.0,1.0,0.0,'a',16.33280372619629,16.33280372619629,0.0,11.0
116.jpg,b,1.0,0.0,0.0,0.0,'a',130.8621063232422,130.8621063232422,0.0,12.0
129.bmp,a,1.0,1.0,1.0,0.0,'a',11.64008140563965,11.64008140563965,0.0,13.0
119.jpg,a,1.0,0.0,0.0,0.0,'b',115.4297409057617,115.4297409057617,0.0,14.0
207.bmp,a,1.0,1.0,1.0,0.0,'a',41.15424346923828,41.15424346923828,0.0,15.0
17.BMP,b,1.0,1.0,1.0,0.0,'b',12.50866508483887,12.50866508483887,0.0,16.0
88.BMP,b,1.0,1.0,1.0,0.0,'b',4.349395275115967,4.349395275115967,0.0,17.0
77.BMP,b,1.0,1.0,1.0,0.0,'b',8.52678394317627,8.52678394317627,0.0,18.0
35.BMP,b,1.0,1.0,1.0,0.0,'b',13.21156215667725,13.21156215667725,0.0,19.0
64.BMP,a,1.0,1.0,1.0,0.0,'a',11.46003913879395,11.46003913879395,0.0,20.0
150.bmp,b,1.0,1.0,1.0,0.0,'b',6.422405242919922,6.422405242919922,0.0,21.0
141.bmp,b,1.0,1.0,1.0,0.0,'b',12.57149314880371,12.57149314880371,0.0,22.0
48.BMP,a,1.0,1.0,1.0,0.0,'a',6.736140251159668,6.736140251159668,0.0,23.0
143.bmp,a,1.0,1.0,1.0,0.0,'a',12.70265293121338,12.70265293121338,0.0,24.0
65.BMP,b,1.0,1.0,1.0,0.0,'b',7.187302589416504,7.187302589416504,0.0,25.0
91.jpg,a,1.0,1.0,1.0,0.0,'a',9.267757415771484,9.267757415771484,0.0,26.0
329.bmp,b,1.0,1.0,1.0,0.0,'b',40.14368057250977,40.14368057250977,0.0,27.0
145.bmp,a,1.0,1.0,1.0,0.0,'a',27.9604606628418,27.9604606628418,0.0,28.0
43.BMP,b,1.0,1.0,1.0,0.0,'b',11.40326881408691,11.40326881408691,0.0,29.0
41.BMP,b,1.0,1.0,1.0,0.0,'b',17.34976768493652,17.34976768493652,0.0,30.0
132.bmp,b,1.0,0.0,0.0,0.0,'a',22.10863304138184,22.10863304138184,0.0,31.0
317.bmp,a,1.0,1.0,1.0,0.0,'a',40.54327774047852,40.54327774047852,0.0,32.0
53.BMP,b,1.0,1.0,1.0,0.0,'b',10.25301265716553,10.25301265716553,0.0,33.0
109.jpg,a,1.0,1.0,1.0,0.0,'a',8.997899055480957,8.997899055480957,0.0,34.0
314.bmp,a,1.0,1.0,1.0,0.0,'a',29.01010894775391,29.01010894775391,0.0,35.0
51.BMP,a,1.0,1.0,1.0,0.0,'a',14.45331954956055,14.45331954956055,0.0,36.0
135.bmp,b,1.0,1.0,1.0,0.0,'b',15.29110717773438,15.29110717773438,0.0,37.0
305.bmp,b,1.0,1.0,1.0,0.0,'b',6.527521133422852,6.527521133422852,0.0,38.0
40.jpg,b,1.0,1.0,1.0,0.0,'b',18.39294242858887,18.39294242858887,0.0,39.0
138.bmp,a,1.0,1.0,1.0,0.0,'a',20.55047798156738,20.55047798156738,0.0,40.0
325.bmp,a,1.0,1.0,1.0,0.0,'a',49.80509185791016,49.80509185791016,0.0,41.0
106.jpg,a,1.0,0.0,0.0,0.0,'b',22.9439525604248,22.9439525604248,0.0,42.0
146.bmp,a,1.0,1.0,1.0,0.0,'a',15.82726287841797,15.82726287841797,0.0,43.0
112.jpg,b,1.0,1.0,1.0,0.0,'b',10.19575595855713,10.19575595855713,0.0,44.0
202.bmp,a,1.0,1.0,1.0,0.0,'a',8.061463356018066,8.061463356018066,0.0,45.0
117.jpg,a,1.0,1.0,1.0,0.0,'a',11.98885536193848,11.98885536193848,0.0,46.0
86.BMP,b,1.0,1.0,1.0,0.0,'b',7.172288417816162,7.172288417816162,0.0,47.0
115.jpg,b,1.0,0.0,0.0,0.0,'a',30.96808815002441,30.96808815002441,0.0,48.0
203.bmp,a,1.0,1.0,1.0,0.0,'a',13.44017887115479,13.44017887115479,0.0,49.0
14.BMP,a,1.0,1.0,1.0,0.0,'a',6.14479923248291,6.14479923248291,0.0,50.0
332.bmp,a,1.0,0.0,0.0,0.0,'b',33.05450820922852,33.05450820922852,0.0,51.0
320.bmp,a,1.0,1.0,1.0,0.0,'a',58.86599731445312,58.86599731445312,0.0,52.0
57.BMP,b,1.0,1.0,1.0,0.0,'b',21.5373592376709,21.5373592376709,0.0,53.0
2.BMP,b,1.0,1.0,1.0,0.0,'b',16.06516456604004,16.06516456604004,0.0,54.0
68.BMP,a,1.0,1.0,1.0,0.0,'a',4.498306274414062,4.498306274414062,0.0,55.0
84.BMP,a,1.0,1.0,1.0,0.0,'a',3.67157769203186,3.67157769203186,0.0,56.0
108.jpg,a,1.0,1.0,1.0,0.0,'a',45.4766845703125,45.4766845703125,0.0,57.0
111.jpg,a,1.0,1.0,1.0,0.0,'a',13.50967502593994,13.50967502593994,0.0,58.0
110.jpg,a,1.0,1.0,1.0,0.0,'a',20.25024795532227,20.25024795532227,0.0,59.0
211.bmp,a,1.0,1.0,1.0,0.0,'a',12.47754192352295,12.47754192352295,0.0,60.0
,,,,,,,,,,
extraInfo,,,,,,,,,,
participant,26,,,,,,,,,
date,2023-04-18_10h39.09.046,,,,,,,,,
expName,codetms_version2,,,,,,,,,
psychopyVersion,2022.2.5,,,,,,,,,
frameRate,,,,,,,,,,
