figure1,corrAns,n,stim_resp.corr_mean,stim_resp.corr_raw,stim_resp.corr_std,stim_resp.keys_raw,stim_resp.rt_mean,stim_resp.rt_raw,stim_resp.rt_std,order
146.bmp,a,1.0,1.0,1.0,0.0,'a',36.12070083618164,36.12070083618164,0.0,0.0
150.bmp,b,1.0,1.0,1.0,0.0,'b',18.56882667541504,18.56882667541504,0.0,1.0
84.BMP,a,1.0,1.0,1.0,0.0,'a',7.198105812072754,7.198105812072754,0.0,2.0
29.BMP,a,1.0,1.0,1.0,0.0,'a',14.98292541503906,14.98292541503906,0.0,3.0
311.bmp,b,1.0,1.0,1.0,0.0,'b',32.76971817016602,32.76971817016602,0.0,4.0
112.jpg,b,1.0,1.0,1.0,0.0,'b',43.98924255371094,43.98924255371094,0.0,5.0
308.bmp,b,1.0,1.0,1.0,0.0,'b',54.70411682128906,54.70411682128906,0.0,6.0
119.jpg,a,1.0,1.0,1.0,0.0,'a',21.9204273223877,21.9204273223877,0.0,7.0
5.BMP,a,1.0,1.0,1.0,0.0,'a',10.51670169830322,10.51670169830322,0.0,8.0
141.bmp,b,1.0,1.0,1.0,0.0,'b',21.44316673278809,21.44316673278809,0.0,9.0
116.jpg,b,1.0,1.0,1.0,0.0,'b',17.55444145202637,17.55444145202637,0.0,10.0
68.BMP,a,1.0,1.0,1.0,0.0,'a',6.316501140594482,6.316501140594482,0.0,11.0
39.BMP,a,1.0,1.0,1.0,0.0,'a',16.55525970458984,16.55525970458984,0.0,12.0
332.bmp,a,1.0,0.0,0.0,0.0,'b',72.51985931396484,72.51985931396484,0.0,13.0
53.BMP,b,1.0,1.0,1.0,0.0,'b',9.101393699645996,9.101393699645996,0.0,14.0
65.BMP,b,1.0,1.0,1.0,0.0,'b',6.538290500640869,6.538290500640869,0.0,15.0
132.bmp,b,1.0,0.0,0.0,0.0,'a',16.06827545166016,16.06827545166016,0.0,16.0
64.BMP,a,1.0,1.0,1.0,0.0,'a',5.259267807006836,5.259267807006836,0.0,17.0
43.BMP,b,1.0,1.0,1.0,0.0,'b',11.91142559051514,11.91142559051514,0.0,18.0
57.BMP,b,1.0,1.0,1.0,0.0,'b',15.18147087097168,15.18147087097168,0.0,19.0
207.bmp,a,1.0,1.0,1.0,0.0,'a',37.17081069946289,37.17081069946289,0.0,20.0
