figure1,corrAns,n,stim_resp.corr_mean,stim_resp.corr_raw,stim_resp.corr_std,stim_resp.keys_raw,stim_resp.rt_mean,stim_resp.rt_raw,stim_resp.rt_std,order
205.bmp,a,1.0,1.0,1.0,0.0,'a',9.205109596252441,9.205109596252441,0.0,47.0
6.BMP,b,1.0,0.0,0.0,0.0,'a',5.005046367645264,5.005046367645264,0.0,49.0
24.BMP,a,1.0,0.0,0.0,0.0,'b',2.689129590988159,2.689129590988159,0.0,17.0
10.BMP,a,1.0,0.0,0.0,0.0,'b',4.440006732940674,4.440006732940674,0.0,37.0
201.bmp,b,1.0,1.0,1.0,0.0,'b',11.836844444274902,11.836844444274902,0.0,32.0
15.BMP,b,1.0,1.0,1.0,0.0,'b',40.00696563720703,40.00696563720703,0.0,13.0
19.BMP,b,1.0,1.0,1.0,0.0,'b',16.43445587158203,16.43445587158203,0.0,24.0
27.BMP,a,1.0,0.0,0.0,0.0,'b',22.518104553222656,22.518104553222656,0.0,9.0
7.BMP,b,1.0,1.0,1.0,0.0,'b',9.66189956665039,9.66189956665039,0.0,6.0
25.BMP,b,1.0,1.0,1.0,0.0,'b',5.272226333618164,5.272226333618164,0.0,22.0
18.BMP,b,1.0,1.0,1.0,0.0,'b',32.8306884765625,32.8306884765625,0.0,50.0
212.bmp,a,1.0,1.0,1.0,0.0,'a',12.454676628112793,12.454676628112793,0.0,16.0
210.bmp,a,1.0,1.0,1.0,0.0,'a',5.963423728942871,5.963423728942871,0.0,26.0
45.BMP,b,1.0,1.0,1.0,0.0,'b',12.668570518493652,12.668570518493652,0.0,48.0
52.BMP,b,1.0,1.0,1.0,0.0,'b',10.43429946899414,10.43429946899414,0.0,40.0
55.BMP,b,1.0,1.0,1.0,0.0,'b',31.25153160095215,31.25153160095215,0.0,27.0
214.bmp,a,1.0,1.0,1.0,0.0,'a',19.668838500976562,19.668838500976562,0.0,23.0
32.BMP,a,1.0,1.0,1.0,0.0,'a',12.200794219970703,12.200794219970703,0.0,31.0
34.BMP,b,1.0,1.0,1.0,0.0,'b',17.26380157470703,17.26380157470703,0.0,18.0
47.BMP,a,1.0,1.0,1.0,0.0,'a',36.07231903076172,36.07231903076172,0.0,60.0
31.BMP,b,1.0,1.0,1.0,0.0,'b',12.64087200164795,12.64087200164795,0.0,43.0
102.jpg,b,1.0,1.0,1.0,0.0,'b',12.770779609680176,12.770779609680176,0.0,21.0
63.BMP,a,1.0,1.0,1.0,0.0,'a',4.239006519317627,4.239006519317627,0.0,25.0
80.BMP,b,1.0,1.0,1.0,0.0,'b',4.096312046051025,4.096312046051025,0.0,39.0
104.jpg,b,1.0,1.0,1.0,0.0,'b',12.170835494995117,12.170835494995117,0.0,11.0
100.jpg,b,1.0,1.0,1.0,0.0,'b',7.117458343505859,7.117458343505859,0.0,8.0
85.BMP,a,1.0,1.0,1.0,0.0,'a',11.332697868347168,11.332697868347168,0.0,5.0
90.BMP,a,1.0,1.0,1.0,0.0,'a',4.985760688781738,4.985760688781738,0.0,56.0
95.jpg,a,1.0,1.0,1.0,0.0,'a',10.21860408782959,10.21860408782959,0.0,57.0
69.BMP,a,1.0,1.0,1.0,0.0,'a',3.9028778076171875,3.9028778076171875,0.0,51.0
81.BMP,b,1.0,1.0,1.0,0.0,'b',4.1346964836120605,4.1346964836120605,0.0,35.0
67.BMP,a,1.0,1.0,1.0,0.0,'a',3.0689501762390137,3.0689501762390137,0.0,44.0
87.BMP,b,1.0,1.0,1.0,0.0,'b',6.10613489151001,6.10613489151001,0.0,34.0
74.BMP,a,1.0,1.0,1.0,0.0,'a',7.328745365142822,7.328745365142822,0.0,19.0
70.BMP,b,1.0,1.0,1.0,0.0,'b',7.8870368003845215,7.8870368003845215,0.0,3.0
103.jpg,a,1.0,1.0,1.0,0.0,'a',10.260416984558105,10.260416984558105,0.0,45.0
107.jpg,a,1.0,1.0,1.0,0.0,'a',11.580202102661133,11.580202102661133,0.0,42.0
92.jpg,a,1.0,1.0,1.0,0.0,'a',18.385906219482422,18.385906219482422,0.0,53.0
94.jpg,b,1.0,1.0,1.0,0.0,'b',11.806015014648438,11.806015014648438,0.0,12.0
75.BMP,a,1.0,1.0,1.0,0.0,'a',17.662086486816406,17.662086486816406,0.0,59.0
142.bmp,b,1.0,1.0,1.0,0.0,'b',34.6742057800293,34.6742057800293,0.0,1.0
144.bmp,b,1.0,0.0,0.0,0.0,'a',81.23103332519531,81.23103332519531,0.0,46.0
122.bmp,b,1.0,1.0,1.0,0.0,'b',8.138142585754395,8.138142585754395,0.0,36.0
121.bmp,a,1.0,1.0,1.0,0.0,'a',6.556184768676758,6.556184768676758,0.0,20.0
134.bmp,a,1.0,1.0,1.0,0.0,'a',10.569787979125977,10.569787979125977,0.0,33.0
123.bmp,b,1.0,1.0,1.0,0.0,'b',15.701676368713379,15.701676368713379,0.0,10.0
139.bmp,a,1.0,1.0,1.0,0.0,'a',27.019052505493164,27.019052505493164,0.0,30.0
148.bmp,b,1.0,1.0,1.0,0.0,'b',6.018039226531982,6.018039226531982,0.0,52.0
125.bmp,b,1.0,1.0,1.0,0.0,'b',27.78195571899414,27.78195571899414,0.0,7.0
124.bmp,a,1.0,1.0,1.0,0.0,'a',10.995211601257324,10.995211601257324,0.0,55.0
301.bmp,b,1.0,1.0,1.0,0.0,'b',30.628246307373047,30.628246307373047,0.0,58.0
304.bmp,b,1.0,1.0,1.0,0.0,'b',9.6591215133667,9.6591215133667,0.0,4.0
307.bmp,a,1.0,1.0,1.0,0.0,'a',32.32488250732422,32.32488250732422,0.0,38.0
310.bmp,a,1.0,1.0,1.0,0.0,'a',24.007593154907227,24.007593154907227,0.0,29.0
316.bmp,a,1.0,0.0,0.0,0.0,'b',33.42580032348633,33.42580032348633,0.0,15.0
319.bmp,a,1.0,1.0,1.0,0.0,'a',32.28944396972656,32.28944396972656,0.0,41.0
322.bmp,a,1.0,0.0,0.0,0.0,'b',9.782279014587402,9.782279014587402,0.0,14.0
326.bmp,b,1.0,1.0,1.0,0.0,'b',13.67538070678711,13.67538070678711,0.0,54.0
328.bmp,a,1.0,0.0,0.0,0.0,'b',31.2347412109375,31.2347412109375,0.0,2.0
333.bmp,a,1.0,1.0,1.0,0.0,'a',63.31283187866211,63.31283187866211,0.0,0.0
313.bmp,b,1.0,1.0,1.0,0.0,'b',53.71439743041992,53.71439743041992,0.0,28.0

extraInfo
participant,32420
date,2023-07-19_14h10.32.748
expName,codetms_version1
psychopyVersion,2022.2.5
frameRate,None
