figure1,corrAns,n,stim_resp.corr_mean,stim_resp.corr_raw,stim_resp.corr_std,stim_resp.keys_raw,stim_resp.rt_mean,stim_resp.rt_raw,stim_resp.rt_std,order
22.BMP,a,1,1,1,0,'a',29.80500412,29.80500412,0,0
114.jpg,a,1,1,1,0,'a',10.6070118,10.6070118,0,1
206.bmp,b,1,1,1,0,'b',9.838026047,9.838026047,0,2
133.bmp,a,1,1,1,0,'a',15.06049824,15.06049824,0,3
131.bmp,a,1,1,1,0,'a',13.30430508,13.30430508,0,4
130.bmp,b,1,1,1,0,'b',6.407878876,6.407878876,0,5
105.jpg,b,1,1,1,0,'b',36.17258072,36.17258072,0,6
118.jpg,b,1,1,1,0,'b',12.47477531,12.47477531,0,7
98.jpg,b,1,1,1,0,'b',11.32635593,11.32635593,0,8
128.bmp,b,1,0,0,0,'a',8.661779404,8.661779404,0,9
96.jpg,a,1,1,1,0,'a',17.73908615,17.73908615,0,10
66.BMP,b,1,1,1,0,'b',8.76795578,8.76795578,0,11
126.bmp,a,1,1,1,0,'a',12.48815536,12.48815536,0,12
113.jpg,b,1,1,1,0,'b',18.04803085,18.04803085,0,13
140.bmp,b,1,1,1,0,'b',13.2188673,13.2188673,0,14
209.bmp,b,1,1,1,0,'b',19.06096077,19.06096077,0,15
56.BMP,b,1,1,1,0,'b',10.33318233,10.33318233,0,16
23.BMP,a,1,1,1,0,'a',13.29662514,13.29662514,0,17
73.BMP,b,1,1,1,0,'b',8.068091393,8.068091393,0,18
33.BMP,b,1,1,1,0,'b',10.51850796,10.51850796,0,19
9.BMP,a,1,1,1,0,'a',15.06596279,15.06596279,0,20
147.bmp,a,1,1,1,0,'a',29.29558372,29.29558372,0,21
137.bmp,b,1,0,0,0,'a',52.58576584,52.58576584,0,22
42.BMP,a,1,1,1,0,'a',20.12830162,20.12830162,0,23
82.BMP,a,1,1,1,0,'a',6.704750538,6.704750538,0,24
127.bmp,b,1,1,1,0,'b',5.333042145,5.333042145,0,25
49.BMP,a,1,1,1,0,'a',51.82739258,51.82739258,0,26
97.jpg,b,1,1,1,0,'b',10.41139126,10.41139126,0,27
120.jpg,b,1,1,1,0,'b',19.4297657,19.4297657,0,28
213.bmp,b,1,1,1,0,'b',22.45258141,22.45258141,0,29
16.BMP,b,1,1,1,0,'b',14.55559921,14.55559921,0,30
99.jpg,b,1,1,1,0,'b',8.17108345,8.17108345,0,31
4.BMP,a,1,1,1,0,'a',11.27460289,11.27460289,0,32
83.BMP,a,1,1,1,0,'a',10.13872814,10.13872814,0,33
60.BMP,a,1,1,1,0,'a',25.92315674,25.92315674,0,34
208.bmp,a,1,1,1,0,'a',42.39363861,42.39363861,0,35
13.BMP,b,1,1,1,0,'b',12.47146988,12.47146988,0,36
59.BMP,b,1,1,1,0,'b',20.96216583,20.96216583,0,37
76.BMP,b,1,1,1,0,'b',8.817354202,8.817354202,0,38
72.BMP,b,1,1,1,0,'b',8.980480194,8.980480194,0,39
11.BMP,b,1,1,1,0,'b',9.465732574,9.465732574,0,40
46.BMP,a,1,1,1,0,'a',17.32911491,17.32911491,0,41
93.jpg,a,1,1,1,0,'a',10.41042709,10.41042709,0,42
1.BMP,a,1,1,1,0,'a',21.11621857,21.11621857,0,43
89.BMP,a,1,1,1,0,'a',6.635887623,6.635887623,0,44
54.BMP,b,1,1,1,0,'b',15.60960865,15.60960865,0,45
3.BMP,a,1,1,1,0,'a',20.67965317,20.67965317,0,46
38.BMP,b,1,1,1,0,'b',15.83991146,15.83991146,0,47
101.jpg,b,1,1,1,0,'b',21.59841347,21.59841347,0,48
136.bmp,a,1,1,1,0,'a',42.99851227,42.99851227,0,49
,,,,,,,,,,
extraInfo,,,,,,,,,,
participant,1,,,,,,,,,
date,2023-04-07_16h46.08.923,,,,,,,,,
expName,codetms_version3,,,,,,,,,
psychopyVersion,2022.2.5,,,,,,,,,
frameRate,,,,,,,,,,
