figure1,corrAns,n,stim_resp.corr_mean,stim_resp.corr_raw,stim_resp.corr_std,stim_resp.keys_raw,stim_resp.rt_mean,stim_resp.rt_raw,stim_resp.rt_std,order
16.BMP,b,1.0,1.0,1.0,0.0,'b',3.790881633758545,3.790881633758545,0.0,30.0
4.BMP,a,1.0,1.0,1.0,0.0,'a',10.465388298034668,10.465388298034668,0.0,16.0
3.BMP,a,1.0,1.0,1.0,0.0,'a',21.760225296020508,21.760225296020508,0.0,48.0
11.BMP,b,1.0,1.0,1.0,0.0,'b',4.808347702026367,4.808347702026367,0.0,50.0
1.BMP,a,1.0,1.0,1.0,0.0,'a',10.035017967224121,10.035017967224121,0.0,8.0
9.BMP,a,1.0,1.0,1.0,0.0,'a',11.715771675109863,11.715771675109863,0.0,23.0
13.BMP,b,1.0,1.0,1.0,0.0,'b',5.599046230316162,5.599046230316162,0.0,21.0
22.BMP,a,1.0,1.0,1.0,0.0,'a',8.491805076599121,8.491805076599121,0.0,27.0
206.bmp,b,1.0,1.0,1.0,0.0,'b',3.996708393096924,3.996708393096924,0.0,51.0
23.BMP,a,1.0,1.0,1.0,0.0,'a',9.418717384338379,9.418717384338379,0.0,39.0
54.BMP,b,1.0,1.0,1.0,0.0,'b',9.523626327514648,9.523626327514648,0.0,45.0
49.BMP,a,1.0,1.0,1.0,0.0,'a',23.3372745513916,23.3372745513916,0.0,18.0
56.BMP,b,1.0,1.0,1.0,0.0,'b',20.84414291381836,20.84414291381836,0.0,43.0
59.BMP,b,1.0,1.0,1.0,0.0,'b',10.506481170654297,10.506481170654297,0.0,54.0
209.bmp,b,1.0,1.0,1.0,0.0,'b',8.295825004577637,8.295825004577637,0.0,9.0
46.BMP,a,1.0,1.0,1.0,0.0,'a',29.384634017944336,29.384634017944336,0.0,13.0
60.BMP,a,1.0,1.0,1.0,0.0,'a',15.951699256896973,15.951699256896973,0.0,44.0
208.bmp,a,1.0,1.0,1.0,0.0,'a',8.340068817138672,8.340068817138672,0.0,2.0
42.BMP,a,1.0,1.0,1.0,0.0,'a',5.6642866134643555,5.6642866134643555,0.0,15.0
213.bmp,b,1.0,1.0,1.0,0.0,'b',29.250091552734375,29.250091552734375,0.0,14.0
33.BMP,b,1.0,1.0,1.0,0.0,'b',26.017004013061523,26.017004013061523,0.0,17.0
97.jpg,b,1.0,1.0,1.0,0.0,'b',3.481658697128296,3.481658697128296,0.0,28.0
83.BMP,a,1.0,1.0,1.0,0.0,'a',2.8822686672210693,2.8822686672210693,0.0,25.0
114.jpg,a,1.0,1.0,1.0,0.0,'a',10.430054664611816,10.430054664611816,0.0,0.0
120.jpg,b,1.0,1.0,1.0,0.0,'b',10.219267845153809,10.219267845153809,0.0,36.0
93.jpg,a,1.0,1.0,1.0,0.0,'a',4.486701965332031,4.486701965332031,0.0,20.0
73.BMP,b,1.0,1.0,1.0,0.0,'b',3.910663604736328,3.910663604736328,0.0,35.0
89.BMP,a,1.0,1.0,1.0,0.0,'a',2.956453561782837,2.956453561782837,0.0,34.0
98.jpg,b,1.0,1.0,1.0,0.0,'b',6.74224328994751,6.74224328994751,0.0,19.0
96.jpg,a,1.0,1.0,1.0,0.0,'a',14.657804489135742,14.657804489135742,0.0,3.0
82.BMP,a,1.0,1.0,1.0,0.0,'a',3.3065085411071777,3.3065085411071777,0.0,55.0
105.jpg,b,1.0,1.0,1.0,0.0,'b',6.667654514312744,6.667654514312744,0.0,31.0
66.BMP,b,1.0,1.0,1.0,0.0,'b',6.02940034866333,6.02940034866333,0.0,52.0
113.jpg,b,1.0,1.0,1.0,0.0,'b',14.01434326171875,14.01434326171875,0.0,46.0
99.jpg,b,1.0,1.0,1.0,0.0,'b',4.46937894821167,4.46937894821167,0.0,59.0
101.jpg,b,1.0,1.0,1.0,0.0,'b',22.64604949951172,22.64604949951172,0.0,33.0
118.jpg,a,1.0,0.0,0.0,0.0,'b',22.16575813293457,22.16575813293457,0.0,7.0
76.BMP,b,1.0,1.0,1.0,0.0,'b',8.293465614318848,8.293465614318848,0.0,11.0
72.BMP,b,1.0,1.0,1.0,0.0,'b',7.349420070648193,7.349420070648193,0.0,4.0
130.bmp,b,1.0,1.0,1.0,0.0,'b',18.603425979614258,18.603425979614258,0.0,58.0
131.bmp,a,1.0,1.0,1.0,0.0,'a',8.950823783874512,8.950823783874512,0.0,60.0
133.bmp,a,1.0,1.0,1.0,0.0,'a',15.162074089050293,15.162074089050293,0.0,41.0
128.bmp,b,1.0,1.0,1.0,0.0,'b',29.26913070678711,29.26913070678711,0.0,24.0
136.bmp,a,1.0,1.0,1.0,0.0,'a',19.094552993774414,19.094552993774414,0.0,56.0
137.bmp,b,1.0,1.0,1.0,0.0,'b',35.564659118652344,35.564659118652344,0.0,37.0
126.bmp,a,1.0,1.0,1.0,0.0,'a',10.510284423828125,10.510284423828125,0.0,32.0
140.bmp,a,1.0,0.0,0.0,0.0,'b',15.43109130859375,15.43109130859375,0.0,26.0
147.bmp,a,1.0,1.0,1.0,0.0,'a',30.0827693939209,30.0827693939209,0.0,1.0
127.bmp,b,1.0,1.0,1.0,0.0,'b',12.741421699523926,12.741421699523926,0.0,22.0
38.BMP,b,1.0,1.0,1.0,0.0,'b',7.9594573974609375,7.9594573974609375,0.0,49.0
303.bmp,a,1.0,0.0,0.0,0.0,'b',14.78786849975586,14.78786849975586,0.0,40.0
306.bmp,b,1.0,1.0,1.0,0.0,'b',37.62953186035156,37.62953186035156,0.0,6.0
309.bmp,b,1.0,1.0,1.0,0.0,'b',31.75388526916504,31.75388526916504,0.0,57.0
312.bmp,b,1.0,1.0,1.0,0.0,'b',14.162434577941895,14.162434577941895,0.0,47.0
315.bmp,b,1.0,1.0,1.0,0.0,'b',17.57916831970215,17.57916831970215,0.0,29.0
318.bmp,b,1.0,0.0,0.0,0.0,'a',23.78095817565918,23.78095817565918,0.0,42.0
321.bmp,a,1.0,0.0,0.0,0.0,'b',44.17497634887695,44.17497634887695,0.0,10.0
324.bmp,b,1.0,1.0,1.0,0.0,'b',24.559572219848633,24.559572219848633,0.0,38.0
327.bmp,b,1.0,1.0,1.0,0.0,'b',11.271559715270996,11.271559715270996,0.0,5.0
330.bmp,a,1.0,1.0,1.0,0.0,'a',31.465883255004883,31.465883255004883,0.0,53.0
331.bmp,b,1.0,0.0,0.0,0.0,'a',62.734188079833984,62.734188079833984,0.0,12.0

extraInfo
participant,04012
date,2023-07-01_13h10.29.064
expName,codetms_version3
psychopyVersion,2022.2.5
frameRate,None
