figure1,corrAns,n,stim_resp.corr_mean,stim_resp.corr_raw,stim_resp.corr_std,stim_resp.keys_raw,stim_resp.rt_mean,stim_resp.rt_raw,stim_resp.rt_std,order
34.BMP,b,1.0,1.0,1.0,0.0,'b',15.28664970397949,15.28664970397949,0.0,0.0
95.jpg,a,1.0,1.0,1.0,0.0,'a',14.55262660980225,14.55262660980225,0.0,1.0
63.BMP,a,1.0,1.0,1.0,0.0,'a',6.814687252044678,6.814687252044678,0.0,2.0
301.bmp,b,1.0,1.0,1.0,0.0,'b',21.82526588439941,21.82526588439941,0.0,3.0
307.bmp,a,1.0,1.0,1.0,0.0,'a',23.76136207580566,23.76136207580566,0.0,4.0
52.BMP,b,1.0,0.0,0.0,0.0,'a',8.648159980773926,8.648159980773926,0.0,5.0
32.BMP,a,1.0,1.0,1.0,0.0,'a',8.774214744567871,8.774214744567871,0.0,6.0
319.bmp,a,1.0,0.0,0.0,0.0,'b',28.59486198425293,28.59486198425293,0.0,7.0
90.BMP,a,1.0,1.0,1.0,0.0,'a',13.57417106628418,13.57417106628418,0.0,8.0
55.BMP,b,1.0,1.0,1.0,0.0,'b',20.58355903625488,20.58355903625488,0.0,9.0
134.bmp,a,1.0,1.0,1.0,0.0,'a',12.00855827331543,12.00855827331543,0.0,10.0
201.bmp,b,1.0,1.0,1.0,0.0,'b',13.79345035552979,13.79345035552979,0.0,11.0
316.bmp,a,1.0,0.0,0.0,0.0,'b',22.16452598571777,22.16452598571777,0.0,12.0
31.BMP,b,1.0,1.0,1.0,0.0,'b',22.2878246307373,22.2878246307373,0.0,13.0
313.bmp,b,1.0,1.0,1.0,0.0,'b',10.57717514038086,10.57717514038086,0.0,14.0
210.bmp,a,1.0,1.0,1.0,0.0,'a',7.26949405670166,7.26949405670166,0.0,15.0
6.BMP,b,1.0,1.0,1.0,0.0,'b',12.06228160858154,12.06228160858154,0.0,16.0
123.bmp,b,1.0,1.0,1.0,0.0,'b',7.349133491516113,7.349133491516113,0.0,17.0
24.BMP,a,1.0,1.0,1.0,0.0,'a',14.1145658493042,14.1145658493042,0.0,18.0
142.bmp,b,1.0,1.0,1.0,0.0,'b',16.61886596679688,16.61886596679688,0.0,19.0
328.bmp,a,1.0,1.0,1.0,0.0,'a',17.74853324890137,17.74853324890137,0.0,20.0
87.BMP,b,1.0,1.0,1.0,0.0,'b',8.120226860046387,8.120226860046387,0.0,21.0
94.jpg,b,1.0,1.0,1.0,0.0,'b',22.38891220092773,22.38891220092773,0.0,22.0
47.BMP,a,1.0,1.0,1.0,0.0,'a',20.35947036743164,20.35947036743164,0.0,23.0
45.BMP,b,1.0,1.0,1.0,0.0,'b',10.56822109222412,10.56822109222412,0.0,24.0
139.bmp,a,1.0,1.0,1.0,0.0,'a',10.83831691741943,10.83831691741943,0.0,25.0
100.jpg,b,1.0,0.0,0.0,0.0,'a',14.62935543060303,14.62935543060303,0.0,26.0
74.BMP,a,1.0,1.0,1.0,0.0,'a',11.09183025360107,11.09183025360107,0.0,27.0
122.bmp,b,1.0,1.0,1.0,0.0,'b',3.309066534042358,3.309066534042358,0.0,28.0
