figure1,corrAns,n,stim_resp.corr_mean,stim_resp.corr_raw,stim_resp.corr_std,stim_resp.keys_raw,stim_resp.rt_mean,stim_resp.rt_raw,stim_resp.rt_std,order
16.BMP,b,1.0,1.0,1.0,0.0,'b',12.904707908630371,12.904707908630371,0.0,18.0
4.BMP,a,1.0,1.0,1.0,0.0,'a',13.70997142791748,13.70997142791748,0.0,55.0
3.BMP,a,1.0,1.0,1.0,0.0,'a',15.452739715576172,15.452739715576172,0.0,24.0
11.BMP,b,1.0,1.0,1.0,0.0,'b',13.41369915008545,13.41369915008545,0.0,54.0
1.BMP,a,1.0,1.0,1.0,0.0,'a',20.85636329650879,20.85636329650879,0.0,19.0
9.BMP,a,1.0,1.0,1.0,0.0,'a',21.661718368530273,21.661718368530273,0.0,23.0
13.BMP,b,1.0,1.0,1.0,0.0,'b',31.318750381469727,31.318750381469727,0.0,25.0
22.BMP,a,1.0,1.0,1.0,0.0,'a',13.566543579101562,13.566543579101562,0.0,1.0
206.bmp,b,1.0,1.0,1.0,0.0,'b',11.134122848510742,11.134122848510742,0.0,17.0
23.BMP,a,1.0,1.0,1.0,0.0,'a',20.765857696533203,20.765857696533203,0.0,53.0
54.BMP,b,1.0,1.0,1.0,0.0,'b',41.68452835083008,41.68452835083008,0.0,16.0
49.BMP,a,1.0,1.0,1.0,0.0,'a',17.587570190429688,17.587570190429688,0.0,5.0
56.BMP,b,1.0,1.0,1.0,0.0,'b',10.709145545959473,10.709145545959473,0.0,0.0
59.BMP,b,1.0,1.0,1.0,0.0,'b',30.549579620361328,30.549579620361328,0.0,40.0
209.bmp,b,1.0,1.0,1.0,0.0,'b',24.74176597595215,24.74176597595215,0.0,6.0
46.BMP,a,1.0,1.0,1.0,0.0,'a',26.283891677856445,26.283891677856445,0.0,12.0
60.BMP,a,1.0,1.0,1.0,0.0,'a',12.0424165725708,12.0424165725708,0.0,60.0
208.bmp,a,1.0,1.0,1.0,0.0,'a',35.26750564575195,35.26750564575195,0.0,7.0
42.BMP,a,1.0,1.0,1.0,0.0,'a',15.015122413635254,15.015122413635254,0.0,49.0
213.bmp,b,1.0,1.0,1.0,0.0,'b',41.218082427978516,41.218082427978516,0.0,43.0
33.BMP,b,1.0,1.0,1.0,0.0,'b',38.78181838989258,38.78181838989258,0.0,58.0
97.jpg,b,1.0,1.0,1.0,0.0,'b',15.296076774597168,15.296076774597168,0.0,47.0
83.BMP,a,1.0,1.0,1.0,0.0,'a',6.427394390106201,6.427394390106201,0.0,39.0
114.jpg,a,1.0,1.0,1.0,0.0,'a',17.080589294433594,17.080589294433594,0.0,34.0
120.jpg,b,1.0,1.0,1.0,0.0,'b',19.17192268371582,19.17192268371582,0.0,2.0
93.jpg,a,1.0,1.0,1.0,0.0,'a',18.25208854675293,18.25208854675293,0.0,56.0
73.BMP,b,1.0,1.0,1.0,0.0,'b',8.631428718566895,8.631428718566895,0.0,14.0
89.BMP,a,1.0,1.0,1.0,0.0,'a',4.481979846954346,4.481979846954346,0.0,46.0
98.jpg,b,1.0,1.0,1.0,0.0,'b',21.779691696166992,21.779691696166992,0.0,9.0
96.jpg,a,1.0,1.0,1.0,0.0,'a',17.04886817932129,17.04886817932129,0.0,8.0
82.BMP,a,1.0,1.0,1.0,0.0,'a',7.734579563140869,7.734579563140869,0.0,11.0
105.jpg,b,1.0,1.0,1.0,0.0,'b',32.80033493041992,32.80033493041992,0.0,51.0
66.BMP,b,1.0,1.0,1.0,0.0,'b',5.392956733703613,5.392956733703613,0.0,15.0
113.jpg,b,1.0,0.0,0.0,0.0,'a',78.82183074951172,78.82183074951172,0.0,29.0
99.jpg,b,1.0,1.0,1.0,0.0,'b',9.073953628540039,9.073953628540039,0.0,22.0
101.jpg,b,1.0,1.0,1.0,0.0,'b',20.03335952758789,20.03335952758789,0.0,4.0
118.jpg,a,1.0,0.0,0.0,0.0,'b',28.986698150634766,28.986698150634766,0.0,42.0
76.BMP,b,1.0,1.0,1.0,0.0,'b',7.6526994705200195,7.6526994705200195,0.0,20.0
72.BMP,b,1.0,1.0,1.0,0.0,'b',6.231764316558838,6.231764316558838,0.0,3.0
130.bmp,b,1.0,1.0,1.0,0.0,'b',16.976526260375977,16.976526260375977,0.0,33.0
131.bmp,a,1.0,1.0,1.0,0.0,'a',25.790393829345703,25.790393829345703,0.0,30.0
133.bmp,a,1.0,1.0,1.0,0.0,'a',24.087255477905273,24.087255477905273,0.0,48.0
128.bmp,b,1.0,0.0,0.0,0.0,'a',43.43659210205078,43.43659210205078,0.0,31.0
136.bmp,a,1.0,1.0,1.0,0.0,'a',49.680625915527344,49.680625915527344,0.0,10.0
137.bmp,b,1.0,0.0,0.0,0.0,'a',57.96373748779297,57.96373748779297,0.0,38.0
126.bmp,a,1.0,1.0,1.0,0.0,'a',19.87932014465332,19.87932014465332,0.0,52.0
140.bmp,a,1.0,0.0,0.0,0.0,'b',22.741069793701172,22.741069793701172,0.0,45.0
147.bmp,a,1.0,1.0,1.0,0.0,'a',55.92110824584961,55.92110824584961,0.0,35.0
127.bmp,b,1.0,1.0,1.0,0.0,'b',30.33555793762207,30.33555793762207,0.0,37.0
38.BMP,b,1.0,1.0,1.0,0.0,'b',20.596546173095703,20.596546173095703,0.0,59.0
303.bmp,a,1.0,1.0,1.0,0.0,'a',23.31831169128418,23.31831169128418,0.0,36.0
306.bmp,b,1.0,1.0,1.0,0.0,'b',35.374412536621094,35.374412536621094,0.0,32.0
309.bmp,b,1.0,0.0,0.0,0.0,'a',93.95704650878906,93.95704650878906,0.0,26.0
312.bmp,b,1.0,1.0,1.0,0.0,'b',45.98317337036133,45.98317337036133,0.0,57.0
315.bmp,b,1.0,1.0,1.0,0.0,'b',28.610776901245117,28.610776901245117,0.0,13.0
318.bmp,b,1.0,1.0,1.0,0.0,'b',35.52661895751953,35.52661895751953,0.0,50.0
321.bmp,a,1.0,0.0,0.0,0.0,'b',46.27478790283203,46.27478790283203,0.0,41.0
324.bmp,b,1.0,0.0,0.0,0.0,'a',108.58885955810547,108.58885955810547,0.0,28.0
327.bmp,b,1.0,1.0,1.0,0.0,'b',47.31980514526367,47.31980514526367,0.0,21.0
330.bmp,a,1.0,1.0,1.0,0.0,'a',64.51455688476562,64.51455688476562,0.0,27.0
331.bmp,b,1.0,1.0,1.0,0.0,'b',64.97978973388672,64.97978973388672,0.0,44.0

extraInfo
participant,13012
date,2023-06-23_12h37.02.438
expName,codetms_version3
psychopyVersion,2022.2.5
frameRate,None
