figure1,corrAns,n,stim_resp.corr_mean,stim_resp.corr_raw,stim_resp.corr_std,stim_resp.keys_raw,stim_resp.rt_mean,stim_resp.rt_raw,stim_resp.rt_std,order
52.BMP,b,1.0,1.0,1.0,0.0,'b',22.10835266113281,22.10835266113281,0.0,0.0
90.BMP,a,1.0,1.0,1.0,0.0,'a',10.48765182495117,10.48765182495117,0.0,1.0
326.bmp,b,1.0,1.0,1.0,0.0,'b',23.95281791687012,23.95281791687012,0.0,2.0
139.bmp,a,1.0,1.0,1.0,0.0,'a',17.88824462890625,17.88824462890625,0.0,3.0
18.BMP,b,1.0,1.0,1.0,0.0,'b',13.86368370056152,13.86368370056152,0.0,4.0
47.BMP,a,1.0,1.0,1.0,0.0,'a',64.76951599121094,64.76951599121094,0.0,5.0
70.BMP,b,1.0,1.0,1.0,0.0,'b',6.05930233001709,6.05930233001709,0.0,6.0
210.bmp,a,1.0,1.0,1.0,0.0,'a',15.31515789031982,15.31515789031982,0.0,7.0
124.bmp,a,1.0,1.0,1.0,0.0,'a',19.6794319152832,19.6794319152832,0.0,8.0
7.BMP,b,1.0,1.0,1.0,0.0,'b',17.75248527526855,17.75248527526855,0.0,9.0
69.BMP,a,1.0,1.0,1.0,0.0,'a',6.458341598510742,6.458341598510742,0.0,10.0
301.bmp,b,1.0,1.0,1.0,0.0,'b',45.47579574584961,45.47579574584961,0.0,11.0
214.bmp,a,1.0,1.0,1.0,0.0,'a',14.48737525939941,14.48737525939941,0.0,12.0
144.bmp,b,1.0,1.0,1.0,0.0,'b',37.26118087768555,37.26118087768555,0.0,13.0
87.BMP,b,1.0,1.0,1.0,0.0,'b',5.619616031646729,5.619616031646729,0.0,14.0
74.BMP,a,1.0,1.0,1.0,0.0,'a',20.06756591796875,20.06756591796875,0.0,15.0
95.jpg,a,1.0,1.0,1.0,0.0,'a',18.45772552490234,18.45772552490234,0.0,16.0
24.BMP,a,1.0,1.0,1.0,0.0,'a',39.14938354492188,39.14938354492188,0.0,17.0
19.BMP,b,1.0,1.0,1.0,0.0,'b',15.34263896942139,15.34263896942139,0.0,18.0
55.BMP,b,1.0,1.0,1.0,0.0,'b',28.58016395568848,28.58016395568848,0.0,19.0
102.jpg,b,1.0,1.0,1.0,0.0,'b',16.76763916015625,16.76763916015625,0.0,20.0
80.BMP,b,1.0,1.0,1.0,0.0,'b',7.488325595855713,7.488325595855713,0.0,21.0
81.BMP,b,1.0,1.0,1.0,0.0,'b',5.721869468688965,5.721869468688965,0.0,22.0
205.bmp,a,1.0,1.0,1.0,0.0,'a',16.0804557800293,16.0804557800293,0.0,23.0
75.BMP,a,1.0,1.0,1.0,0.0,'a',11.04782390594482,11.04782390594482,0.0,24.0
313.bmp,b,1.0,1.0,1.0,0.0,'b',31.13755989074707,31.13755989074707,0.0,25.0
122.bmp,b,1.0,1.0,1.0,0.0,'b',11.23221206665039,11.23221206665039,0.0,26.0
316.bmp,a,1.0,0.0,0.0,0.0,'b',61.20801544189453,61.20801544189453,0.0,27.0
85.BMP,a,1.0,1.0,1.0,0.0,'a',6.511410236358643,6.511410236358643,0.0,28.0
125.bmp,b,1.0,1.0,1.0,0.0,'b',12.57155704498291,12.57155704498291,0.0,29.0
27.BMP,a,1.0,1.0,1.0,0.0,'a',14.64317607879639,14.64317607879639,0.0,30.0
100.jpg,b,1.0,1.0,1.0,0.0,'b',18.26276016235352,18.26276016235352,0.0,31.0
310.bmp,a,1.0,1.0,1.0,0.0,'a',31.91292190551758,31.91292190551758,0.0,32.0
212.bmp,a,1.0,1.0,1.0,0.0,'a',20.9756908416748,20.9756908416748,0.0,33.0
31.BMP,b,1.0,1.0,1.0,0.0,'b',24.85134506225586,24.85134506225586,0.0,34.0
25.BMP,b,1.0,1.0,1.0,0.0,'b',12.12235927581787,12.12235927581787,0.0,35.0
34.BMP,b,1.0,1.0,1.0,0.0,'b',15.80649471282959,15.80649471282959,0.0,36.0
32.BMP,a,1.0,1.0,1.0,0.0,'a',12.26580715179443,12.26580715179443,0.0,37.0
201.bmp,b,1.0,1.0,1.0,0.0,'b',19.58621597290039,19.58621597290039,0.0,38.0
307.bmp,a,1.0,0.0,0.0,0.0,'b',45.66188049316406,45.66188049316406,0.0,39.0
10.BMP,a,1.0,1.0,1.0,0.0,'a',14.77149295806885,14.77149295806885,0.0,40.0
333.bmp,a,1.0,1.0,1.0,0.0,'a',97.13534545898438,97.13534545898438,0.0,41.0
103.jpg,a,1.0,1.0,1.0,0.0,'a',10.2852897644043,10.2852897644043,0.0,42.0
6.BMP,b,1.0,1.0,1.0,0.0,'b',30.16095542907715,30.16095542907715,0.0,43.0
