"stimulus","response_time","response_time.stimulus.mean","response_time.stimulus.std_dev"
13,32.312427520752,15.7924907366435,6.27517827588999
37,57.8126106262207,15.3674367495946,6.50900308673187
39,50.774242401123,15.6114373207092,7.49097149135025
57,42.7538757324219,16.5628909042903,5.83559581845475
59,34.2246055603027,17.2107929865519,7.98984901614719
60,134.463424682617,12.3025170008341,5.4196695282522
66,10.9882793426514,6.05171823501587,2.37627580176091
71,50.932674407959,9.32534330231803,7.58869245215838
72,26.5690288543701,7.47300607363383,3.56550586717663
77,59.9757232666016,11.551029409681,7.35641252163045
84,18.5382213592529,6.13290275846209,3.45572136338675
86,44.6410446166992,5.68370948519026,2.30980937431297
97,67.1672821044922,13.5467940489451,7.3668369755676
98,84.776985168457,24.49012854894,21.2069269597185
109,118.081077575684,16.8041297367641,10.3624885601675
110,105.544586181641,19.7125552722386,6.00555653689593
112,56.2856369018555,13.2916106496538,10.4078862715655
114,35.2663688659668,12.2829575856527,6.21634379022478
115,50.5538597106934,24.879909992218,11.6728662632556
117,133.941070556641,26.5912643160139,17.1734910930998
120,69.335205078125,20.822975730896,13.9607601575388
126,56.4271240234375,11.8236800193787,4.22148169204208
127,107.569274902344,20.5384295781453,9.05581486242078
136,121.755264282227,33.5050583521525,19.1140747941034
137,106.38761138916,33.7123165766398,13.8056613394897
145,88.9366149902344,30.2580618858337,12.1914173546581
318,145.057174682617,43.106475683359,37.0795031931744
323,71.6424789428711,34.0382724175086,13.4880865596409
332,87.1157913208008,41.1798711923453,20.3994463042142
