formula,AIC,BIC
log(response_time) ~ condition + (1|id:condition),3730.806872,3758.507324
log(response_time) ~ condition + (1|stimulus:condition),3358.163170,3385.863621
log(response_time) ~ condition + (1|id:domain:condition),3710.847901,3738.548352
log(response_time) ~ condition + (1|id) + (1|stimulus),2721.479064,2754.719606
log(response_time) ~ condition + (1|id) + (1|id:domain),3661.158292,3694.398834
log(response_time) ~ condition + (1|id) + (1|id:condition),3712.429371,3745.669913
log(response_time) ~ condition + (1|id) + (1|stimulus:condition),3040.673917,3073.914459
log(response_time) ~ condition + (1|id) + (1|id:domain:condition),3673.217754,3706.458296
log(response_time) ~ condition + (1|stimulus) + (1|id:domain),2678.007985,2711.248527
log(response_time) ~ condition + (1|stimulus) + (1|id:condition),2686.308656,2719.549198
log(response_time) ~ condition + (1|stimulus) + (1|stimulus:condition),3063.643831,3096.884373
log(response_time) ~ condition + (1|stimulus) + (1|id:domain:condition),2698.014915,2731.255457
log(response_time) ~ condition + (1|id:domain) + (1|id:condition),3651.920378,3685.160920
log(response_time) ~ condition + (1|id:domain) + (1|stimulus:condition),3015.322252,3048.562794
log(response_time) ~ condition + (1|id:domain) + (1|id:domain:condition),3660.369546,3693.610088
log(response_time) ~ condition + (1|id:condition) + (1|stimulus:condition),3006.045838,3039.286380
log(response_time) ~ condition + (1|id:condition) + (1|id:domain:condition),3694.075476,3727.316018
log(response_time) ~ condition + (1|stimulus:condition) + (1|id:domain:condition),3029.391054,3062.631596
log(response_time) ~ condition + (1|id) + (1|stimulus) + (1|id:domain),2663.563088,2702.343721
log(response_time) ~ condition + (1|id) + (1|stimulus) + (1|id:condition),2668.403632,2707.184264
log(response_time) ~ condition + (1|id) + (1|stimulus) + (1|stimulus:condition),2722.075343,2760.855975
log(response_time) ~ condition + (1|id) + (1|stimulus) + (1|id:domain:condition),2635.878255,2674.658887
log(response_time) ~ condition + (1|id) + (1|id:domain) + (1|id:condition),3648.523055,3687.303688
log(response_time) ~ condition + (1|id) + (1|id:domain) + (1|stimulus:condition),3000.807064,3039.587696
log(response_time) ~ condition + (1|id) + (1|id:domain) + (1|id:domain:condition),3655.075461,3693.856093
log(response_time) ~ condition + (1|id) + (1|id:condition) + (1|stimulus:condition),2990.374278,3029.154910
log(response_time) ~ condition + (1|id) + (1|id:condition) + (1|id:domain:condition),3675.217754,3713.998386
log(response_time) ~ condition + (1|id) + (1|stimulus:condition) + (1|id:domain:condition),2973.024576,3011.805208
log(response_time) ~ condition + (1|stimulus) + (1|id:domain) + (1|id:condition),2613.770550,2652.551182
log(response_time) ~ condition + (1|stimulus) + (1|id:domain) + (1|stimulus:condition),2680.007985,2718.788618
log(response_time) ~ condition + (1|stimulus) + (1|id:domain) + (1|id:domain:condition),2643.321099,2682.101731
log(response_time) ~ condition + (1|stimulus) + (1|id:condition) + (1|stimulus:condition),2685.167264,2723.947896
log(response_time) ~ condition + (1|stimulus) + (1|id:condition) + (1|id:domain:condition),2650.529224,2689.309856
log(response_time) ~ condition + (1|stimulus) + (1|stimulus:condition) + (1|id:domain:condition),2699.543361,2738.323994
log(response_time) ~ condition + (1|id:domain) + (1|id:condition) + (1|stimulus:condition),2953.544653,2992.325285
log(response_time) ~ condition + (1|id:domain) + (1|id:condition) + (1|id:domain:condition),3653.896962,3692.677594
log(response_time) ~ condition + (1|id:domain) + (1|stimulus:condition) + (1|id:domain:condition),2981.632732,3020.413364
log(response_time) ~ condition + (1|id:condition) + (1|stimulus:condition) + (1|id:domain:condition),2983.955633,3022.736265
log(response_time) ~ condition + (1|id) + (1|stimulus) + (1|id:domain) + (1|id:condition),2604.392970,2648.713692
log(response_time) ~ condition + (1|id) + (1|stimulus) + (1|id:domain) + (1|stimulus:condition),2665.531843,2709.852565
log(response_time) ~ condition + (1|id) + (1|stimulus) + (1|id:domain) + (1|id:domain:condition),2628.925711,2673.246434
log(response_time) ~ condition + (1|id) + (1|stimulus) + (1|id:condition) + (1|stimulus:condition),2667.354402,2711.675125
log(response_time) ~ condition + (1|id) + (1|stimulus) + (1|id:condition) + (1|id:domain:condition),2632.474370,2676.795092
log(response_time) ~ condition + (1|id) + (1|stimulus) + (1|stimulus:condition) + (1|id:domain:condition),2637.232171,2681.552894
log(response_time) ~ condition + (1|id) + (1|id:domain) + (1|id:condition) + (1|stimulus:condition),2945.771041,2990.091764
log(response_time) ~ condition + (1|id) + (1|id:domain) + (1|id:condition) + (1|id:domain:condition),3650.455048,3694.775771
log(response_time) ~ condition + (1|id) + (1|id:domain) + (1|stimulus:condition) + (1|id:domain:condition),2968.394743,3012.715465
log(response_time) ~ condition + (1|id) + (1|id:condition) + (1|stimulus:condition) + (1|id:domain:condition),2968.180818,3012.501540
