formula,AIC,BIC
response_time ~ condition + (1|id) + (1|stimulus:condition),15577.750514,15610.991056
response_time ~ condition + (1|id) + (1|id:domain:condition),16090.736432,16123.976974
response_time ~ condition + (1|stimulus) + (1|id:domain),15261.595996,15294.836538
response_time ~ condition + (1|stimulus) + (1|id:condition),15260.239756,15293.480298
response_time ~ condition + (1|stimulus) + (1|stimulus:condition),15435.074446,15468.314988
response_time ~ condition + (1|stimulus) + (1|id:domain:condition),15285.664123,15318.904665
response_time ~ condition + (1|id:domain) + (1|id:condition),16064.751505,16097.992047
response_time ~ condition + (1|id:domain) + (1|stimulus:condition),15568.632942,15601.873484
response_time ~ condition + (1|id:domain) + (1|id:domain:condition),16073.901178,16107.141720
response_time ~ condition + (1|id:condition) + (1|stimulus:condition),15556.429160,15589.669702
response_time ~ condition + (1|id:condition) + (1|id:domain:condition),16104.789104,16138.029646
response_time ~ condition + (1|stimulus:condition) + (1|id:domain:condition),15587.889894,15621.130436
response_time ~ condition + (1|id) + (1|stimulus) + (1|id:domain),15251.830206,15290.610839
response_time ~ condition + (1|id) + (1|stimulus) + (1|id:condition),15249.925182,15288.705815
response_time ~ condition + (1|id) + (1|stimulus) + (1|stimulus:condition),15280.939051,15319.719683
response_time ~ condition + (1|id) + (1|stimulus) + (1|id:domain:condition),15244.101193,15282.881825
response_time ~ condition + (1|id) + (1|id:domain) + (1|id:condition),16064.106493,16102.887125
response_time ~ condition + (1|id) + (1|id:domain) + (1|stimulus:condition),15559.321467,15598.102100
response_time ~ condition + (1|id) + (1|id:domain) + (1|id:domain:condition),16071.757892,16110.538524
response_time ~ condition + (1|id) + (1|id:condition) + (1|stimulus:condition),15547.973362,15586.753994
response_time ~ condition + (1|id) + (1|id:condition) + (1|id:domain:condition),16092.594914,16131.375546
response_time ~ condition + (1|id) + (1|stimulus:condition) + (1|id:domain:condition),15549.813940,15588.594572
response_time ~ condition + (1|stimulus) + (1|id:domain) + (1|id:condition),15224.413285,15263.193917
response_time ~ condition + (1|stimulus) + (1|id:domain) + (1|stimulus:condition),15263.595996,15302.376629
response_time ~ condition + (1|stimulus) + (1|id:domain) + (1|id:domain:condition),15249.228433,15288.009065
response_time ~ condition + (1|stimulus) + (1|id:condition) + (1|stimulus:condition),15262.117403,15300.898035
response_time ~ condition + (1|stimulus) + (1|id:condition) + (1|id:domain:condition),15251.311155,15290.091787
response_time ~ condition + (1|stimulus) + (1|stimulus:condition) + (1|id:domain:condition),15287.664124,15326.444756
response_time ~ condition + (1|id:domain) + (1|id:condition) + (1|stimulus:condition),15530.454071,15569.234703
response_time ~ condition + (1|id:domain) + (1|id:condition) + (1|id:domain:condition),16066.751505,16105.532137
response_time ~ condition + (1|id:domain) + (1|stimulus:condition) + (1|id:domain:condition),15556.036202,15594.816834
response_time ~ condition + (1|id:condition) + (1|stimulus:condition) + (1|id:domain:condition),15552.852518,15591.633150
response_time ~ condition + (1|id) + (1|stimulus) + (1|id:domain) + (1|id:condition),15220.166076,15264.486799
response_time ~ condition + (1|id) + (1|stimulus) + (1|id:domain) + (1|stimulus:condition),15253.830206,15298.150929
response_time ~ condition + (1|id) + (1|stimulus) + (1|id:domain) + (1|id:domain:condition),15239.557693,15283.878416
response_time ~ condition + (1|id) + (1|stimulus) + (1|id:condition) + (1|stimulus:condition),15251.820312,15296.141035
response_time ~ condition + (1|id) + (1|stimulus) + (1|id:condition) + (1|id:domain:condition),15240.453903,15284.774626
response_time ~ condition + (1|id) + (1|stimulus) + (1|stimulus:condition) + (1|id:domain:condition),15246.101193,15290.421915
response_time ~ condition + (1|id) + (1|id:domain) + (1|id:condition) + (1|stimulus:condition),15527.272101,15571.592824
response_time ~ condition + (1|id) + (1|id:domain) + (1|id:condition) + (1|id:domain:condition),16066.106493,16110.427215
response_time ~ condition + (1|id) + (1|id:domain) + (1|stimulus:condition) + (1|id:domain:condition),15547.228126,15591.548849
response_time ~ condition + (1|id) + (1|id:condition) + (1|stimulus:condition) + (1|id:domain:condition),15544.001448,15588.322170
