formula,AIC,BIC
log(response_time) ~ condition + (1|id:condition),1922.545052,1946.212061
log(response_time) ~ condition + (1|stimulus:condition),1707.603288,1731.270298
log(response_time) ~ condition + (1|id:domain:condition),1565.366489,1589.033498
log(response_time) ~ condition + (1|id) + (1|stimulus),1464.271730,1492.672141
log(response_time) ~ condition + (1|id) + (1|id:domain),1491.334979,1519.735390
log(response_time) ~ condition + (1|id) + (1|id:condition),1917.167142,1945.567554
log(response_time) ~ condition + (1|id) + (1|stimulus:condition),1616.352195,1644.752607
log(response_time) ~ condition + (1|id) + (1|id:domain:condition),1567.366489,1595.766900
log(response_time) ~ condition + (1|stimulus) + (1|id:domain),1381.762514,1410.162925
log(response_time) ~ condition + (1|stimulus) + (1|id:condition),1472.065047,1500.465458
log(response_time) ~ condition + (1|stimulus) + (1|stimulus:condition),1570.554523,1598.954935
log(response_time) ~ condition + (1|stimulus) + (1|id:domain:condition),1426.017576,1454.417988
log(response_time) ~ condition + (1|id:domain) + (1|id:condition),1482.926674,1511.327086
log(response_time) ~ condition + (1|id:domain) + (1|stimulus:condition),1433.766435,1462.166847
log(response_time) ~ condition + (1|id:domain) + (1|id:domain:condition),1483.940624,1512.341035
log(response_time) ~ condition + (1|id:condition) + (1|stimulus:condition),1618.697006,1647.097417
log(response_time) ~ condition + (1|id:condition) + (1|id:domain:condition),1567.366489,1595.766900
log(response_time) ~ condition + (1|stimulus:condition) + (1|id:domain:condition),1495.625708,1524.026119
log(response_time) ~ condition + (1|id) + (1|stimulus) + (1|id:domain),1383.762514,1416.896327
log(response_time) ~ condition + (1|id) + (1|stimulus) + (1|id:condition),1457.934102,1491.067915
log(response_time) ~ condition + (1|id) + (1|stimulus) + (1|stimulus:condition),1466.271730,1499.405543
log(response_time) ~ condition + (1|id) + (1|stimulus) + (1|id:domain:condition),1414.181037,1447.314850
log(response_time) ~ condition + (1|id) + (1|id:domain) + (1|id:condition),1484.926674,1518.060487
log(response_time) ~ condition + (1|id) + (1|id:domain) + (1|stimulus:condition),1435.766435,1468.900249
log(response_time) ~ condition + (1|id) + (1|id:domain) + (1|id:domain:condition),1485.940624,1519.074437
log(response_time) ~ condition + (1|id) + (1|id:condition) + (1|stimulus:condition),1608.687888,1641.821701
log(response_time) ~ condition + (1|id) + (1|id:condition) + (1|id:domain:condition),1569.366489,1602.500302
log(response_time) ~ condition + (1|id) + (1|stimulus:condition) + (1|id:domain:condition),1497.557904,1530.691717
log(response_time) ~ condition + (1|stimulus) + (1|id:domain) + (1|id:condition),1371.881150,1405.014963
log(response_time) ~ condition + (1|stimulus) + (1|id:domain) + (1|stimulus:condition),1383.737983,1416.871796
log(response_time) ~ condition + (1|stimulus) + (1|id:domain) + (1|id:domain:condition),1371.216911,1404.350725
log(response_time) ~ condition + (1|stimulus) + (1|id:condition) + (1|stimulus:condition),1474.010723,1507.144536
log(response_time) ~ condition + (1|stimulus) + (1|id:condition) + (1|id:domain:condition),1427.314378,1460.448191
log(response_time) ~ condition + (1|stimulus) + (1|stimulus:condition) + (1|id:domain:condition),1427.070154,1460.203967
log(response_time) ~ condition + (1|id:domain) + (1|id:condition) + (1|stimulus:condition),1422.724441,1455.858254
log(response_time) ~ condition + (1|id:domain) + (1|id:condition) + (1|id:domain:condition),1484.325058,1517.458871
log(response_time) ~ condition + (1|id:domain) + (1|stimulus:condition) + (1|id:domain:condition),1421.521482,1454.655295
log(response_time) ~ condition + (1|id:condition) + (1|stimulus:condition) + (1|id:domain:condition),1497.625708,1530.759521
log(response_time) ~ condition + (1|id) + (1|stimulus) + (1|id:domain) + (1|id:condition),1373.881150,1411.748365
log(response_time) ~ condition + (1|id) + (1|stimulus) + (1|id:domain) + (1|stimulus:condition),1385.737983,1423.605198
log(response_time) ~ condition + (1|id) + (1|stimulus) + (1|id:domain) + (1|id:domain:condition),1373.216911,1411.084126
log(response_time) ~ condition + (1|id) + (1|stimulus) + (1|id:condition) + (1|stimulus:condition),1459.934102,1497.801317
log(response_time) ~ condition + (1|id) + (1|stimulus) + (1|id:condition) + (1|id:domain:condition),1416.181037,1454.048252
log(response_time) ~ condition + (1|id) + (1|stimulus) + (1|stimulus:condition) + (1|id:domain:condition),1415.347012,1453.214227
log(response_time) ~ condition + (1|id) + (1|id:domain) + (1|id:condition) + (1|stimulus:condition),1424.724441,1462.591656
log(response_time) ~ condition + (1|id) + (1|id:domain) + (1|id:condition) + (1|id:domain:condition),1486.325062,1524.192277
log(response_time) ~ condition + (1|id) + (1|id:domain) + (1|stimulus:condition) + (1|id:domain:condition),1423.521482,1461.388697
log(response_time) ~ condition + (1|id) + (1|id:condition) + (1|stimulus:condition) + (1|id:domain:condition),1499.557904,1537.425119
log(response_time) ~ condition + (1|stimulus) + (1|id:domain) + (1|id:condition) + (1|stimulus:condition),1373.597002,1411.464217
log(response_time) ~ condition + (1|stimulus) + (1|id:domain) + (1|id:condition) + (1|id:domain:condition),1371.828802,1409.696017
log(response_time) ~ condition + (1|stimulus) + (1|id:domain) + (1|stimulus:condition) + (1|id:domain:condition),1372.747508,1410.614724
log(response_time) ~ condition + (1|stimulus) + (1|id:condition) + (1|stimulus:condition) + (1|id:domain:condition),1428.371816,1466.239031
log(response_time) ~ condition + (1|id:domain) + (1|id:condition) + (1|stimulus:condition) + (1|id:domain:condition),1422.143344,1460.010559
log(response_time) ~ condition + (1|id) + (1|stimulus) + (1|id:domain) + (1|id:condition) + (1|stimulus:condition),1375.596991,1418.197608
log(response_time) ~ condition + (1|id) + (1|stimulus) + (1|id:domain) + (1|id:condition) + (1|id:domain:condition),1373.828802,1416.429419
log(response_time) ~ condition + (1|id) + (1|stimulus) + (1|id:domain) + (1|stimulus:condition) + (1|id:domain:condition),1374.747508,1417.348125
log(response_time) ~ condition + (1|id) + (1|stimulus) + (1|id:condition) + (1|stimulus:condition) + (1|id:domain:condition),1417.347012,1459.947629
log(response_time) ~ condition + (1|id) + (1|id:domain) + (1|id:condition) + (1|stimulus:condition) + (1|id:domain:condition),1424.143344,1466.743961
log(response_time) ~ condition + (1|stimulus) + (1|id:domain) + (1|id:condition) + (1|stimulus:condition) + (1|id:domain:condition),1373.369485,1415.970102
log(response_time) ~ condition + (1|id) + (1|stimulus) + (1|id:domain) + (1|id:condition) + (1|stimulus:condition) + (1|id:domain:condition),1375.369485,1422.703504
log(response_time) ~ domain + (1|id),1481.049520,1499.983127
log(response_time) ~ domain + (1|stimulus),1492.681601,1511.615208
log(response_time) ~ domain + (1|id:domain),1450.344013,1469.277621
log(response_time) ~ domain + (1|id:condition),1485.696020,1504.629627
log(response_time) ~ domain + (1|stimulus:condition),1530.699534,1549.633141
log(response_time) ~ domain + (1|id:domain:condition),1465.198925,1484.132533
log(response_time) ~ domain + (1|id) + (1|stimulus),1390.684478,1414.351487
log(response_time) ~ domain + (1|id) + (1|id:domain),1450.791805,1474.458814
log(response_time) ~ domain + (1|id) + (1|id:condition),1474.710792,1498.377802
log(response_time) ~ domain + (1|id) + (1|stimulus:condition),1437.277751,1460.944760
log(response_time) ~ domain + (1|id) + (1|id:domain:condition),1450.779435,1474.446444
log(response_time) ~ domain + (1|stimulus) + (1|id:domain),1345.380839,1369.047848
log(response_time) ~ domain + (1|stimulus) + (1|id:condition),1394.986063,1418.653072
log(response_time) ~ domain + (1|stimulus) + (1|stimulus:condition),1494.681601,1518.348610
log(response_time) ~ domain + (1|stimulus) + (1|id:domain:condition),1358.015136,1381.682146
log(response_time) ~ domain + (1|id:domain) + (1|id:condition),1440.275630,1463.942639
log(response_time) ~ domain + (1|id:domain) + (1|stimulus:condition),1394.060306,1417.727315
log(response_time) ~ domain + (1|id:domain) + (1|id:domain:condition),1442.935733,1466.602742
log(response_time) ~ domain + (1|id:condition) + (1|stimulus:condition),1440.711742,1464.378752
log(response_time) ~ domain + (1|id:condition) + (1|id:domain:condition),1463.146308,1486.813317
log(response_time) ~ domain + (1|stimulus:condition) + (1|id:domain:condition),1403.399991,1427.067001
log(response_time) ~ domain + (1|id) + (1|stimulus) + (1|id:domain),1345.846359,1374.246771
log(response_time) ~ domain + (1|id) + (1|stimulus) + (1|id:condition),1382.274270,1410.674681
log(response_time) ~ domain + (1|id) + (1|stimulus) + (1|stimulus:condition),1392.684478,1421.084889
log(response_time) ~ domain + (1|id) + (1|stimulus) + (1|id:domain:condition),1342.573716,1370.974127
log(response_time) ~ domain + (1|id) + (1|id:domain) + (1|id:condition),1441.532754,1469.933165
log(response_time) ~ domain + (1|id) + (1|id:domain) + (1|stimulus:condition),1394.458594,1422.859005
log(response_time) ~ domain + (1|id) + (1|id:domain) + (1|id:domain:condition),1443.493633,1471.894045
log(response_time) ~ domain + (1|id) + (1|id:condition) + (1|stimulus:condition),1429.108854,1457.509265
log(response_time) ~ domain + (1|id) + (1|id:condition) + (1|id:domain:condition),1452.779435,1481.179846
log(response_time) ~ domain + (1|id) + (1|stimulus:condition) + (1|id:domain:condition),1389.209262,1417.609674
log(response_time) ~ domain + (1|stimulus) + (1|id:domain) + (1|id:condition),1331.705620,1360.106031
log(response_time) ~ domain + (1|stimulus) + (1|id:domain) + (1|stimulus:condition),1347.267524,1375.667935
log(response_time) ~ domain + (1|stimulus) + (1|id:domain) + (1|id:domain:condition),1332.633906,1361.034317
log(response_time) ~ domain + (1|stimulus) + (1|id:condition) + (1|stimulus:condition),1396.981404,1425.381815
log(response_time) ~ domain + (1|stimulus) + (1|id:condition) + (1|id:domain:condition),1356.098845,1384.499256
log(response_time) ~ domain + (1|stimulus) + (1|stimulus:condition) + (1|id:domain:condition),1359.357487,1387.757899
log(response_time) ~ domain + (1|id:domain) + (1|id:condition) + (1|stimulus:condition),1381.002133,1409.402544
log(response_time) ~ domain + (1|id:domain) + (1|id:condition) + (1|id:domain:condition),1441.821717,1470.222128
log(response_time) ~ domain + (1|id:domain) + (1|stimulus:condition) + (1|id:domain:condition),1380.691509,1409.091921
log(response_time) ~ domain + (1|id:condition) + (1|stimulus:condition) + (1|id:domain:condition),1401.809675,1430.210086
log(response_time) ~ domain + (1|id) + (1|stimulus) + (1|id:domain) + (1|id:condition),1332.958160,1366.091973
log(response_time) ~ domain + (1|id) + (1|stimulus) + (1|id:domain) + (1|stimulus:condition),1347.732223,1380.866037
log(response_time) ~ domain + (1|id) + (1|stimulus) + (1|id:domain) + (1|id:domain:condition),1333.225157,1366.358970
log(response_time) ~ domain + (1|id) + (1|stimulus) + (1|id:condition) + (1|stimulus:condition),1384.271733,1417.405547
log(response_time) ~ domain + (1|id) + (1|stimulus) + (1|id:condition) + (1|id:domain:condition),1344.573716,1377.707529
log(response_time) ~ domain + (1|id) + (1|stimulus) + (1|stimulus:condition) + (1|id:domain:condition),1343.988532,1377.122346
log(response_time) ~ domain + (1|id) + (1|id:domain) + (1|id:condition) + (1|stimulus:condition),1382.340484,1415.474297
log(response_time) ~ domain + (1|id) + (1|id:domain) + (1|id:condition) + (1|id:domain:condition),1442.987500,1476.121313
log(response_time) ~ domain + (1|id) + (1|id:domain) + (1|stimulus:condition) + (1|id:domain:condition),1381.246420,1414.380233
log(response_time) ~ domain + (1|id) + (1|id:condition) + (1|stimulus:condition) + (1|id:domain:condition),1391.209262,1424.343076
log(response_time) ~ domain + (1|stimulus) + (1|id:domain) + (1|id:condition) + (1|stimulus:condition),1333.471885,1366.605698
log(response_time) ~ domain + (1|stimulus) + (1|id:domain) + (1|id:condition) + (1|id:domain:condition),1331.933625,1365.067438
log(response_time) ~ domain + (1|stimulus) + (1|id:domain) + (1|stimulus:condition) + (1|id:domain:condition),1334.122863,1367.256676
log(response_time) ~ domain + (1|stimulus) + (1|id:condition) + (1|stimulus:condition) + (1|id:domain:condition),1357.483017,1390.616830
log(response_time) ~ domain + (1|id:domain) + (1|id:condition) + (1|stimulus:condition) + (1|id:domain:condition),1380.483684,1413.617497
log(response_time) ~ domain + (1|id) + (1|stimulus) + (1|id:domain) + (1|id:condition) + (1|stimulus:condition),1334.734568,1372.601783
log(response_time) ~ domain + (1|id) + (1|stimulus) + (1|id:domain) + (1|id:condition) + (1|id:domain:condition),1333.041301,1370.908516
log(response_time) ~ domain + (1|id) + (1|stimulus) + (1|id:domain) + (1|stimulus:condition) + (1|id:domain:condition),1334.713432,1372.580648
log(response_time) ~ domain + (1|id) + (1|stimulus) + (1|id:condition) + (1|stimulus:condition) + (1|id:domain:condition),1345.988532,1383.855748
log(response_time) ~ domain + (1|id) + (1|id:domain) + (1|id:condition) + (1|stimulus:condition) + (1|id:domain:condition),1381.602595,1419.469811
log(response_time) ~ domain + (1|stimulus) + (1|id:domain) + (1|id:condition) + (1|stimulus:condition) + (1|id:domain:condition),1333.513178,1371.380394
log(response_time) ~ domain + (1|id) + (1|stimulus) + (1|id:domain) + (1|id:condition) + (1|stimulus:condition) + (1|id:domain:condition),1334.621171,1377.221788
log(response_time) ~ session_num + (1|id),1913.060350,1931.993958
log(response_time) ~ session_num + (1|stimulus),1547.641565,1566.575173
log(response_time) ~ session_num + (1|id:domain),1476.677572,1495.611180
log(response_time) ~ session_num + (1|id:condition),1918.150479,1937.084086
log(response_time) ~ session_num + (1|stimulus:condition),1677.855007,1696.788615
log(response_time) ~ session_num + (1|id:domain:condition),1561.737614,1580.671221
log(response_time) ~ session_num + (1|id) + (1|stimulus),1443.190595,1466.857604
